,BF1,BF2,BF3,BF4,BF5,BS1,BS2,BS3,BS4,BS5,FH1,FH2,FH3,FH4,FH5,F1,F2,F3,LD1,LD2,LD3,LH1,LH2,LH3,LH4,LH5,LH6,MV1,MV2,MV3,MV4,R1,R2,R3,R4,SO1,SO2,SO3
Allantactis.parasitica,3,0,0,0,0,0,0,2,1,0,0,0,2,1,0,3,0,0,0,3,0,0,0,0,0,3,0,2,0,1,0,0,3,0,0,2,1,0
Amicula.vestita,0,0,3,0,0,0,0,2,1,0,3,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
Amphipoda,1,0,1,2,0,1,2,1,0,0,2,2,2,2,0,1,2,1,0,0,3,2,0,1,1,0,0,0,1,1,2,0,0,0,3,2,1,0
Anomalisipho.verkruezeni,1,0,0,0,2,1,1,2,0,0,0,0,2,2,0,0,2,1,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Anonyx.sp.,0,0,0,3,0,0,2,1,0,0,0,0,2,1,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,2,2,0
Anthosactis.janmayeni,1,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,1,0
Arcteobia.anticostiensis,0,2,1,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,2,0,2,0,0,0,3,0,0,0,3,0,2,1,0
Arctolembos.arcticus,0,0,0,3,0,0,2,1,0,0,3,0,0,0,0,1,2,0,0,0,3,0,0,3,0,0,0,0,2,0,2,0,0,0,3,3,0,0
Argis.sp.,0,0,1,2,0,0,0,3,0,0,0,0,0,3,0,0,2,1,3,0,0,2,0,0,1,0,0,0,1,0,2,0,0,0,3,1,2,0
Ariadnaria.borealis,1,0,0,0,2,0,2,1,0,0,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Arrhis.phyllonyx,0,0,0,3,0,0,3,0,0,0,1,1,1,1,0,0,3,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0
Ascidiacea,2,1,2,0,2,0,0,2,1,0,0,3,0,0,0,1,2,1,1,2,1,1,0,0,0,1,2,3,0,0,0,1,2,0,2,1,2,2
Atylus.carinatus,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,2,2,0
Atylus.smitti,0,0,0,3,0,1,2,0,0,0,3,0,0,0,0,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,2,2,0
Aulacofusus.brevicauda,1,0,0,0,2,0,1,2,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Balanus.sp.,1,0,0,0,2,1,2,2,2,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,3,1,2,0
Bathypolypus.sp..,2,0,0,0,2,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0
Boltenia.echinata,1,0,0,0,2,0,1,2,0,0,0,3,0,0,0,0,1,2,0,3,0,0,0,0,0,1,2,3,0,0,0,0,0,0,3,1,2,0
Boltenia.ovifera,1,0,0,0,2,0,0,1,2,0,0,3,0,0,0,0,1,2,0,3,0,0,0,0,0,1,2,3,0,0,0,0,0,0,3,1,2,0
Boreotrophon.clathratus,1,0,0,0,2,0,1,2,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Boreotrophon.sp..,1,0,0,0,2,0,1,2,1,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Boreotrophon.truncatus,1,0,0,0,2,0,2,2,1,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Brachiopoda,0,0,0,3,0,0,1,2,0,0,0,3,0,0,0,0,2,1,2,0,2,3,0,0,0,0,0,2,1,0,0,0,2,0,2,3,0,0
Bryozoa,1,0,1,0,2,0,1,2,2,0,0,3,0,0,0,0,2,1,0,3,0,1,0,0,0,1,2,3,0,0,0,1,0,0,2,0,0,3
Buccinum.angulosum,2,0,0,0,1,0,0,1,2,0,0,0,2,2,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Buccinum.ciliatum,2,0,0,0,1,0,0,3,0,0,0,0,2,2,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Buccinum.glaciale,2,0,0,0,1,0,0,2,1,0,0,0,2,2,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Buccinum.plectrum,2,0,0,0,1,0,2,2,2,0,0,0,2,2,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Buccinum.polare,2,0,0,0,1,0,2,2,1,0,0,0,2,2,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Buccinum.scalariforme,2,0,0,0,1,0,2,2,1,0,1,0,2,1,0,0,0,3,0,0,3,3,0,0,0,0,0,0,1,2,0,0,0,3,0,3,0,0
Buccinum.solenum,2,0,0,0,1,0,1,2,2,0,0,0,2,2,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Buccinum.sp..,2,0,0,0,1,0,2,2,1,0,1,0,2,2,0,0,1,2,0,0,3,3,0,0,0,0,0,0,1,2,0,0,0,3,0,3,0,0
Bylgides.promamme,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bylgides.sarsii,0,3,0,0,0,0,2,0,0,0,0,0,0,3,0,1,2,0,3,0,0,0,0,0,2,2,0,0,0,2,1,0,3,0,0,1,2,0
Bylgides.sp.,0,2,1,0,0,0,2,1,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,2,2,0,0,0,3,0,0,3,0,0,1,2,0
Calliopiidae,0,0,0,3,0,0,3,0,0,0,0,1,1,1,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,2,1,0
Calycidoris.guentheri,1,0,2,0,0,0,2,1,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0
Cerianthus.lloydi,2,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,1,2,0
Chelyosoma.macleayanum,0,0,2,0,1,0,1,2,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,1,2,3,0,0,0,0,3,0,0,2,2,0
Chionoecetes.opilio,0,0,2,0,1,0,0,1,2,0,0,0,1,2,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,1,2,0
Clinocardium.ciliatum,2,0,2,0,0,0,2,1,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0
Colus.sabini,2,0,0,0,1,0,0,2,2,0,0,0,3,0,0,0,1,2,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,3,0,2,1,0
Colus.sp..,2,0,0,0,1,0,0,2,2,0,0,0,3,0,0,0,1,2,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,3,0,2,1,0
Corella.willmeriana,1,0,0,0,2,0,0,3,0,0,0,3,0,0,0,0,2,2,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,2,1,0
Coryphella.sp..,1,0,2,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Crossaster.papposus,0,0,3,0,0,0,0,1,2,0,0,0,1,2,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0
Cryptonatica.affinis,3,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,1,2,0
Curtitoma.decussata,1,0,0,0,2,0,3,0,0,0,3,0,0,0,0,1,2,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,2,1,0
Curtitoma.novajasemljensis,1,0,0,0,2,0,2,1,0,0,0,0,0,3,0,1,2,1,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
Curtitoma.sp..,1,0,0,0,2,0,2,1,0,0,0,0,0,3,0,1,2,1,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
Curtitoma.violacea,1,0,0,0,2,0,2,1,0,0,0,0,0,3,0,1,2,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
Cylichna.alba,2,0,0,0,1,0,2,1,0,0,2,0,0,2,0,0,1,2,3,0,0,3,0,0,0,0,0,0,1,2,0,0,0,3,0,1,2,0
Cylinchnoides.occultus,2,0,0,0,2,0,2,1,0,0,2,0,0,2,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,2,0
Dendrodoa.sp..,1,0,0,0,2,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0
Dendronotus.sp.,1,2,0,0,0,0,1,2,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Diaphana.hiemalis,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diastylis.alaskensis,0,0,0,3,0,0,2,1,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,1,2,0,0,0,3,2,2,0
Diastylis.goodsiri.scorpioides,0,0,0,3,0,0,3,0,0,0,2,2,2,1,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,1,2,0
Diastylis.sp.,0,0,0,3,0,0,2,1,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,1,2,0,0,0,3,2,2,0
Diastylis.spinulosa,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,1,2,0,0,0,3,2,2,0
Edwardsia.sp..,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,1,2,0,1,2,0,0,2,0,1,0,0,1,2,0,0,1,2,0,0,1,2,0
Ericthonius.sp.,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,1,2,0,0,0,3,3,0,0
Eualus.sp..,0,0,0,3,0,0,2,2,0,0,0,0,0,3,0,0,1,2,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,2,2,0
Eucratea.loricata,0,0,0,0,3,0,1,2,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,1,2,3,0,0,0,1,0,0,2,0,0,3
Eunicidae,0,2,1,0,0,0,1,2,0,0,1,0,1,1,0,0,3,0,2,1,0,1,0,1,1,0,0,0,3,0,0,0,2,1,0,2,1,0
Eunoe.depressa,0,2,1,0,0,0,1,2,0,0,0,0,0,3,0,0,3,0,3,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,3,3,0,0
Eunoe.nodosa,0,2,1,0,0,0,0,3,0,0,0,0,0,3,0,1,2,0,3,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,3,3,0,0
Eunoe.oerstedi,0,2,1,0,0,0,1,2,0,0,0,0,0,3,0,1,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
Eunoe.sp.,0,2,1,0,0,0,1,2,0,0,0,0,0,3,0,1,2,0,3,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,3,3,0,0
Euphrosinidae,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Eupyrgus.scaber,2,1,0,0,0,0,2,2,0,0,3,0,0,0,0,0,1,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0
Eusirus.cuspidatus,0,0,0,3,0,0,1,2,0,0,0,0,0,3,0,0,2,1,0,0,3,3,0,0,0,0,0,0,1,0,2,0,0,0,3,3,0,0
Euspira.pallida,2,0,0,0,1,0,1,2,1,0,0,0,0,3,0,0,2,1,0,1,2,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
Florometra,0,0,0,0,3,0,0,1,2,0,0,3,0,0,0,0,2,1,0,2,0,3,0,0,0,0,0,0,0,2,1,0,3,0,0,0,3,0
Gastropoda,2,0,0,0,1,0,2,2,1,1,1,0,2,2,0,0,1,2,0,0,3,3,0,0,0,0,0,0,1,2,0,0,0,3,0,3,0,0
Gattyana.amondseni,0,2,1,0,0,1,2,0,0,0,0,0,0,3,0,1,2,0,3,0,0,1,0,0,2,0,0,0,3,0,0,0,3,0,0,3,0,0
Gattyana.ciliata,0,2,1,0,0,0,0,2,1,0,0,0,0,3,0,1,2,0,3,0,0,3,0,0,0,0,0,0,2,2,0,0,3,0,0,3,0,0
Gattyana.cirrhosa,0,2,1,0,0,0,0,2,1,0,0,0,0,3,0,1,2,0,3,0,0,1,0,0,2,1,0,0,2,1,0,0,3,0,0,2,1,0
Gattyana.sp.,0,2,1,0,0,0,0,2,1,0,0,0,0,3,0,1,2,0,3,0,0,2,0,0,2,1,0,0,2,1,0,0,3,0,0,2,1,0
Gersemia.rubiformis,1,0,0,0,2,0,2,2,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,3
Gorgonocephalus.sp.,0,0,2,0,2,0,0,0,2,1,0,2,2,2,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
Granotoma.albrechti,1,0,0,0,2,0,2,2,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,2,2,0,0,0,3,0,3,0,0
Halichondria.sp.,1,0,1,0,1,0,2,2,2,2,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,2,1,3,0,0,0,1,0,0,2,0,0,3
Haliclona.sp.,0,0,2,0,1,0,0,0,2,2,0,3,0,0,0,2,1,0,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,0,2,0,0,3
Haliclystus.,0,0,0,0,3,0,2,2,0,0,0,3,0,0,0,0,2,1,0,2,0,3,0,0,0,0,0,0,0,2,1,0,3,0,0,0,3,0
Halirages.nilssoni,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,2,1,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
Halocynthia.aurantium,2,0,0,0,2,0,0,0,2,2,0,3,0,0,0,0,1,2,3,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,2,1,0
Harmothoe.extenuata,0,2,1,0,0,0,3,0,0,0,0,0,0,3,0,1,2,0,3,0,0,1,0,0,2,1,0,0,3,0,0,0,0,0,3,2,1,0
Harmothoe.imbricata,0,2,1,0,0,0,3,0,0,0,1,0,0,3,0,1,2,0,1,0,2,2,0,0,0,1,0,0,2,2,2,0,1,0,2,2,1,0
Harmothoe.sp.,0,2,1,0,0,0,3,0,0,0,1,0,0,2,0,1,2,0,2,0,1,2,0,0,1,1,0,0,2,1,1,0,1,0,2,2,1,0
Henricia.sanguinolenta,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,1,0,2,2,1,0
Heteropora.sp.,0,0,0,0,3,0,1,1,2,2,0,3,0,0,0,0,2,1,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,0,2,0,0,3
Hiatella.arctica,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,1,2,0,3,0,0,0,0,0,0,2,2,3,0,0,0,0,3,0,0,2,1,0
Hippomedon.rylovi,0,0,0,3,0,0,3,0,0,0,0,0,2,1,0,1,2,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,3,2,1,0
Hippomedon.sp.,0,0,0,3,0,0,3,0,0,0,0,0,2,1,0,1,2,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,3,2,1,0
Hormathia.nodosa,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,3,2,0,1,0,0,0,0,3,2,2,0
Hyas.coarctatus,0,0,2,0,2,0,0,1,2,0,0,0,2,2,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,1,0
Hydrozoa,0,0,0,0,3,1,1,2,1,0,0,1,0,2,0,1,2,0,0,2,1,0,0,0,0,1,2,3,0,0,0,2,1,0,2,1,1,2
Ischyrocerus.latipes,0,0,0,3,0,0,2,1,0,0,0,3,0,0,0,0,3,0,0,0,3,1,0,2,0,0,0,0,0,0,3,0,0,0,3,2,2,0
Ischyrocerus.sp..,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,3,1,0,2,0,0,0,0,0,0,3,0,0,0,3,2,2,0
Isopoda,0,0,3,0,0,0,3,0,0,0,0,0,1,2,0,0,0,3,0,0,3,3,0,0,0,0,0,0,2,0,1,0,0,0,3,2,1,0
Labidochirus.splendescens,0,0,3,0,1,0,0,3,0,0,1,0,2,2,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,1,0
Lacuna.crassior,2,0,0,0,1,0,2,1,0,0,3,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Lafoeina.maxima,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,0,0,2,0,0,3
Lebbeus.groenlandicus,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,1,2,2,0,1,3,0,0,0,0,0,0,0,2,2,0,0,0,3,3,0,0
Lebbeus.polaris,0,0,0,3,0,0,1,2,0,0,0,0,1,2,0,0,1,2,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,2,1,0
Leptasterias.arctica,0,0,3,0,0,0,0,1,2,0,0,0,0,3,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0
Leptasterias.groenlandica,0,0,3,0,0,0,0,2,1,0,0,0,1,2,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0
Leptasterias.polaris,0,0,3,0,0,0,0,0,2,1,0,0,0,3,0,0,0,3,0,3,0,3,0,0,0,0,0,0,1,2,0,0,1,0,2,2,1,0
Leptasterias.sp..,0,0,3,0,0,0,0,1,2,1,0,0,0,3,0,0,0,3,0,3,0,3,0,0,0,0,0,0,1,2,0,0,0,0,3,2,1,0
Limneria.undata,2,0,0,0,1,0,2,2,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
Lumbrineridae,0,3,0,0,0,0,2,1,0,0,2,0,2,2,0,2,1,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0
Maera.prionochira,0,0,0,3,0,1,2,0,0,0,3,0,0,0,0,2,2,0,0,0,3,0,0,3,0,0,0,0,2,0,2,0,0,0,3,3,0,0
Margarites.costalis,1,0,0,0,2,0,1,2,0,0,2,0,0,1,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,1,2,0
Margarites.groenlandicus,1,0,0,0,2,0,2,1,0,0,3,0,0,0,0,1,2,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
Margarites.helicinus,1,0,0,0,2,0,2,1,0,0,2,0,0,1,0,0,3,0,0,0,3,2,0,0,0,1,0,0,0,3,0,0,0,3,0,1,2,0
Melaenis.loveni,0,2,1,0,0,0,1,2,0,0,0,0,2,2,0,1,2,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0
Melita.dentata,0,0,0,3,0,0,2,1,0,0,3,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,3,2,1,0
melita.quadrispinosa,0,0,0,3,0,0,3,0,0,0,2,2,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,2,0,1,0,0,0,3,3,0,0
Metridium.sp..,1,0,0,0,2,0,0,0,2,2,0,0,0,3,0,0,2,1,3,0,0,0,0,0,0,0,3,2,0,1,0,1,2,0,0,1,2,2
Molgula.griffithsii,2,0,0,0,1,0,2,1,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,0,0,2,1,0
Molgula.sp..,2,0,0,0,1,0,2,1,0,0,0,3,0,0,0,0,2,2,0,3,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,0,0
Monoculodes.diamesus,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,0,0,2,0,0,0,2,0,1,0,0,0,3,3,0,0
Munnopsidae,0,0,3,0,0,0,2,1,0,0,3,0,0,0,0,0,1,2,0,0,3,3,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0
Munnopsis.typica,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,2,1,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0
Musculus.glacialis,0,0,0,3,0,0,1,2,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,1,2,3,0,0,0,0,0,2,1,0,3,0
Musculus.sp..,0,0,0,3,0,0,2,2,0,0,0,3,0,0,0,0,3,0,0,0,3,1,0,0,0,1,2,2,1,0,0,0,0,1,2,0,3,0
Myriotrochus.rinkii,1,2,0,0,0,0,2,2,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,1,2,0
Nemertea,0,2,0,1,0,0,1,2,0,0,0,0,1,2,0,1,2,0,2,2,2,2,2,0,0,2,0,0,1,2,0,1,2,0,2,3,0,0
Neohela.monstrosa,0,0,1,2,0,0,3,0,0,0,2,1,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,2,0,1,0,0,0,3,1,2,0
Neoiphinoe.kroyeri,1,0,0,0,2,0,2,2,0,0,0,0,2,0,2,0,3,0,2,1,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Neopleustes.pulchellus.var..euacanthus,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nephtys.longosetosa,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,3,0,0,1,0,0,2,0,0,0,3,0,0,0,3,0,0,3,0,0
Nepthys.ciliata,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,3,0,0,1,0,0,2,0,0,0,3,0,0,0,3,0,0,3,0,0
Neptunea.communis,1,0,0,0,2,0,0,2,2,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
Neptunea.heros,1,0,0,0,2,0,0,0,2,1,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
Neptunea.sp.,1,0,0,0,2,0,0,1,2,1,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,2,0
Nodulotrophon.coronatus,1,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Nothria.conchylega,0,3,0,0,0,0,2,1,0,0,1,0,1,1,0,1,2,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,3,1,2,0
Obesotoma.sp..,2,0,0,0,1,0,2,2,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Ocnus.glacialis,1,2,0,0,0,0,0,2,1,0,2,2,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,1,2,0
Oenopota.bicarinata,2,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,2,1,3,0,0,3,0,0,0,0,0,0,2,1,0,0,0,3,0,3,0,0
Oenopota.harpa,2,0,0,0,1,0,2,1,0,0,0,0,0,3,0,0,2,1,3,0,0,3,0,0,0,0,0,0,2,1,0,0,0,3,0,3,0,0
Oenopota.impressa,2,0,0,0,1,0,2,1,0,0,0,0,0,3,0,0,2,1,3,0,0,3,0,0,0,0,0,0,2,1,0,0,0,3,0,3,0,0
Oenopota.pyramidalis,2,0,0,0,1,0,2,2,0,0,0,0,0,3,0,0,2,2,3,0,0,3,0,0,0,0,0,0,2,1,0,0,0,3,0,3,0,0
Oenopota.sp..,2,0,0,0,1,0,2,1,0,0,0,0,0,3,0,1,2,1,3,0,0,3,0,0,0,0,0,0,2,1,0,0,0,3,0,3,0,0
