Day,Manth,Year,Date_text,Depth_class,Depth,Station,ID,Female,Male,cop_V,cop_IV,cop_III,cop II,cop I,nauplii,,,,,,,,,
15.00,11,1999.00,15/11/1999,0_10,5.00,D1,37,0,0,0,0,0,0,0,0,,,,,,,,,
27.00,11,1999.00,27/11/1999,0_10,5.00,D1,38,0,0,0,0,0,0,0,0,,,,,,,,,
13,3,2000,13/03/2000,0_10,5.00,D1,39,2,0,0,0,0,0,0,0,,,,,,,,,
17,4,2000,17/04/2000,0_10,5.00,D1,40,2,0,0,4,0,0,0,0,,,,,,,,,
11,5,2000,11/05/2000,0_10,5.00,D1,41,2,0,3,3,0,0,0,2400,,,,,,,,,
20,5,2000,20/05/2000,0_10,5.00,D1,42,0,0,5,0,0,0,1,6300,,,,,,,,,
30,5,2000,30/05/2000,0_10,5.00,D1,43,0,0,0,60,100,100,1,1600,,,,,,,,,
10,6,2000,10/06/2000,0_10,5.00,D1,44,0,0,0,0,40,200,300,2200,,,,,,,,,
20,6,2000,20/06/2000,0_10,5.00,D1,45,0,0,0,100,400,40,20,10,,,,,,,,,
28,6,2000,28/06/2000,0_10,5.00,D1,46,0,0,0,200,100,20,20,20,,,,,,,,,
11,7,2000,11/07/2000,0_10,5.00,D1,47,0,0,0,0,0,0,0,0,,,,,,,,,
20,7,2000,20/07/2000,0_10,5.00,D1,48,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
1,8,2000,01/08/2000,0_10,5.00,D1,49,0,0,0,0,0,0,0,0,,,,,,,,,
9,8,2000,09/08/2000,0_10,5.00,D1,50,0,0,0,0,0,0,0,0,,,,,,,,,
21,8,2000,21/08/2000,0_10,5.00,D1,51,0,0,0,0,0,0,0,0,,,,,,,,,
30,8,2000,30/08/2000,0_10,5.00,D1,52,0,0,0,0,0,0,0,0,,,,,,,,,
10,9,2000,10/09/2000,0_10,5.00,D1,53,0,0,0,0,0,0,0,0,,,,,,,,,
20,9,2000,20/09/2000,0_10,5.00,D1,54,0,0,0,0,0,0,0,0,,,,,,,,,
1,10,2000,01/10/2000,0_10,5.00,D1,55,0,0,0,0,0,0,0,0,,,,,,,,,
10,10,2000,10/10/2000,0_10,5.00,D1,56,0,0,0,0,0,0,0,0,,,,,,,,,
19,10,2000,19/10/2000,0_10,5.00,D1,57,0,0,0,0,0,0,0,0,,,,,,,,,
30,10,2000,30/10/2000,0_10,5.00,D1,58,0,0,0,0,0,0,0,0,,,,,,,,,
13,11,2000,13/11/2000,0_10,5.00,D1,59,0,0,0,0,0,0,0,0,,,,,,,,,
9,     12,2000,09/12/2000,0_10,5.00,D1,60,0,0,0,1,0,0,0,0,,,,,,,,,
2,4,2001,02/04/2001,0_10,5.00,D1,61,5,0,0,2,0,0,0,0,,,,,,,,,
22,5,2001,22/05/2001,0_10,5.00,D1,62,20,0,180,20,1,5,40,3700,,,,,,,,,
2,6,2001,02/06/2001,0_10,5.00,D1,63,1,0,26,1,10,30,40,8800,,,,,,,,,
11,6,2001,11/06/2001,0_10,5.00,D1,64,0,0,224,1,5,10,20,400,,,,,,,,,
21,6,2001,21/06/2001,0_10,5.00,D1,65,0,0,0,0,10,100,700,100,,,,,,,,,
30,6,2001,30/06/2001,0_10,5.00,D1,66,0,0,0,0,20,10,0,0,,,,,,,,,
10,7,2001,10/07/2001,0_10,5.00,D1,67,0,0,0,0,0,0,0,0,,,,,,,,,
23,7,2001,23/07/2001,0_10,5.00,D1,68,0,0,0,0,0,0,0,0,,,,,,,,,
30,7,2001,30/07/2001,0_10,5.00,D1,69,0,0,0,0,0,0,0,0,,,,,,,,,
9,8,2001,09/08/2001,0_10,5.00,D1,70,0,0,0,0,0,0,0,0,,,,,,,,,
21,8,2001,21/08/2001,0_10,5.00,D1,71,0,0,0,0,0,0,0,0,,,,,,,,,
30,8,2001,30/08/2001,0_10,5.00,D1,72,0,0,0,0,0,0,0,0,,,,,,,,,
10,9,2001.00,10/09/2001,0_10,5.00,D1,73,0,0,0,6,0,0,0,0,,,,,,,,,
20,9,2001.00,20/09/2001,0_10,5.00,D1,74,0,0,0,0,0,0,0,0,,,,,,,,,
2,10,2001.00,02/10/2001,0_10,5.00,D1,75,0,0,0,0,0,0,0,0,,,,,,,,,
11,10,2001,11/10/2001,0_10,5.00,D1,76,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
20,10,2001,20/10/2001,0_10,5.00,D1,77,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
30,10,2001,30/10/2001,0_10,5.00,D1,78,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
15,11,2001,15/11/2001,0_10,5.00,D1,79,0,0,0,1,0,0,0,0,,,,,,,,,
1,12,2001,01/12/2001,0_10,5.00,D1,80,1,1,0,0,0,0,0,0,,,,,,,,,
20,1,2002,20/01/2002,0_10,5.00,D1,81,1,1,0,0,0,0,0,0,,,,,,,,,
5,2,2002,05/02/2002,0_10,5.00,D1,82,0,0,0,0,0,0,0,0,,,,,,,,,
17,3,2002,17/03/2002,0_10,5.00,D1,83,8,0,0,2,0,0,0,0,,,,,,,,,
12,4,2002,12/04/2002,0_10,5.00,D1,84,0,0,0,0,0,0,0,0,,,,,,,,,
14,5,2002,14/05/2002,0_10,5.00,D1,85,4,0,3,7,0,0,0,2330,,,,,,,,,
1,6,2002,01/06/2002,0_10,5.00,D1,86,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
11,6,2002,11/06/2002,0_10,5.00,D1,87,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
20,6,2002,20/06/2002,0_10,5.00,D1,88,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
1,7,2002,01/07/2002,0_10,5.00,D1,89,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
10,7,2002,10/07/2002,0_10,5.00,D1,90,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
20,7,2002,20/07/2002,0_10,5.00,D1,91,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
30,7,2002,30/07/2002,0_10,5.00,D1,92,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
10,8,2002,10/08/2002,0_10,5.00,D1,93,0,0,0,0,0,0,0,0,,,,,,,,,
20,8,2002,20/08/2002,0_10,5.00,D1,94,0,0,0,0,0,0,0,0,,,,,,,,,
31,8,2002,31/08/2002,0_10,5.00,D1,95,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
10,9,2002,10/09/2002,0_10,5.00,D1,96,0,0,0,0,0,0,0,0,,,,,,,,,
19,9,2002,19/09/2002,0_10,5.00,D1,97,0,0,0,0,0,0,0,0,,,,,,,,,
30,9,2002,30/09/2002,0_10,5.00,D1,98,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
10,10,2002,10/10/2002,0_10,5.00,D1,99,0,0,0,0,0,0,0,0,,,,,,,,,
20,10,2002,20/10/2002,0_10,5.00,D1,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
30,10,2002,30/10/2002,0_10,5.00,D1,101,0,0,0,0,0,0,0,0,,,,,,,,,
14,11,2002,14/11/2002,0_10,5.00,D1,102,0,0,0,0,0,0,0,0,,,,,,,,,
31,1,2003,31/01/2003,0_10,5.00,D1,103,2,0,0,1,0,0,0,0,,,,,,,,,
18,2,2003,18/02/2003,0_10,5.00,D1,104,2,0,0,4,2,0,0,0,,,,,,,,,
31,3,2003,31/03/2003,0_10,5.00,D1,105,0,0,0,0,0,0,0,0,,,,,,,,,
10,4,2003,10/04/2003,0_10,5.00,D1,106,3,0,0,5,0,0,0,0,,,,,,,,,
12,5,2003,12/05/2003,0_10,5.00,D1,107,0,0,0,4,0,0,3,1300,,,,,,,,,
20,5,2003,20/05/2003,0_10,5.00,D1,108,1,0,28,0,0,1,1,5000,,,,,,,,,
31,5,2003,31/05/2003,0_10,5.00,D1,109,4,0,14,0,3,200,200,4200,,,,,,,,,
10,6,2003,10/06/2003,0_10,5.00,D1,110,0,0,0,0,200,300,400,100,,,,,,,,,
19,6,2003,19/06/2003,0_10,5.00,D1,111,0,0,0,10,400,700,100,40,,,,,,,,,
30,6,2003,30/06/2003,0_10,5.00,D1,112,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
10,7,2003,10/07/2003,0_10,5.00,D1,113,0,0,0,0,0,0,0,0,,,,,,,,,
20,7,2003,20/07/2003,0_10,5.00,D1,114,0,0,0,0,0,0,0,0,,,,,,,,,
29,7,2003,29/07/2003,0_10,5.00,D1,115,0,0,0,0,0,0,0,0,,,,,,,,,
11,8,2003,11/08/2003,0_10,5.00,D1,116,0,0,0,1,0,0,0,0,,,,,,,,,
20,8,2003,20/08/2003,0_10,5.00,D1,117,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
1,9,2003,01/09/2003,0_10,5.00,D1,118,0,0,0,0,0,0,0,0,,,,,,,,,
10,9,2003,10/09/2003,0_10,5.00,D1,119,0,0,0,0,0,0,0,0,,,,,,,,,
21,9,2003,21/09/2003,0_10,5.00,D1,120,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
30,9,2003,30/09/2003,0_10,5.00,D1,121,0,0,0,0,0,0,0,0,,,,,,,,,
11,10,2003.00,11/10/2003,0_10,5.00,D1,122,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
20,10,2003.00,20/10/2003,0_10,5.00,D1,123,0,0,0,0,0,0,0,0,,,,,,,,,
30,10,2003.00,30/10/2003,0_10,5.00,D1,124,0,0,0,0,0,0,0,0,,,,,,,,,
16,11,2003.00,16/11/2003,0_10,5.00,D1,125,0,0,0,0,0,0,0,0,,,,,,,,,
2,12,2003.00,02/12/2003,0_10,5.00,D1,126,0,0,0,0,0,0,0,0,,,,,,,,,
23,2,2004,23/02/2004,0_10,5.00,D1,127,15,1,0,10,0,0,0,0,,,,,,,,,
28,3,2004.00,28/03/2004,0_10,5.00,D1,128,5,0,0,8,0,0,0,0,,,,,,,,,
7,4,2004.00,07/04/2004,0_10,5.00,D1,129,0,0,0,1,0,0,0,0,,,,,,,,,
19,5,2004.00,19/05/2004,0_10,5.00,D1,130,0,0,2,0,0,0,0,1800,,,,,,,,,
30,5,2004.00,30/05/2004,0_10,5.00,D1,131,5,0,950,20,0,0,0,200,,,,,,,,,
10,6,2004.00,10/06/2004,0_10,5.00,D1,132,0,0,14,1,0,5,5,300,,,,,,,,,
21,6,2004.00,21/06/2004,0_10,5.00,D1,133,0,0,0,1,10,20,1,0,,,,,,,,,
30,6,2004.00,30/06/2004,0_10,5.00,D1,134,0,0,0,0,0,0,0,0,,,,,,,,,
10,7,2004.00,10/07/2004,0_10,5.00,D1,135,0,0,0,0,0,0,0,0,,,,,,,,,
20,7,2004.00,20/07/2004,0_10,5.00,D1,136,0,0,0,0,0,0,0,0,,,,,,,,,
29,7,2004.00,29/07/2004,0_10,5.00,D1,137,0,0,0,0,0,0,0,0,,,,,,,,,
10,8,2004.00,10/08/2004,0_10,5.00,D1,138,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
19,8,2004.00,19/08/2004,0_10,5.00,D1,139,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
31,8,2004.00,31/08/2004,0_10,5.00,D1,140,0,0,0,0,0,0,0,0,,,,,,,,,
9,9,2004.00,09/09/2004,0_10,5.00,D1,141,0,0,0,0,0,0,0,0,,,,,,,,,
20,9,2004.00,20/09/2004,0_10,5.00,D1,142,0,0,0,0,0,0,0,0,,,,,,,,,
30,9,2004.00,30/09/2004,0_10,5.00,D1,143,0,0,0,0,0,0,0,0,,,,,,,,,
9,10,2004.00,09/10/2004,0_10,5.00,D1,144,0,0,0,0,0,0,0,0,,,,,,,,,
20,10,2004.00,20/10/2004,0_10,5.00,D1,145,0,0,0,0,0,0,0,0,,,,,,,,,
30,10,2004.00,30/10/2004,0_10,5.00,D1,146,0,0,0,0,0,0,0,0,,,,,,,,,
11,11,2004.00,11/11/2004,0_10,5.00,D1,147,0,0,0,0,0,0,0,0,,,,,,,,,
5,4,2005.00,05/04/2005,0_10,5.00,D1,148,0,0,0,0,0,0,0,0,,,,,,,,,
1,6,2005.00,01/06/2005,0_10,5.00,D1,149,0,0,1,0,2,23,65,0,,,,,,,,,
11.00,6,2005.00,11/06/2005,0_10,5.00,D1,150,0,0,0,0,310,700,390,0,,,,,,,,,
20,6,2005.00,20/06/2005,0_10,5.00,D1,151,0,0,0,10,20,20,40,40,,,,,,,,,
30,6,2005.00,30/06/2005,0_10,5.00,D1,152,0,0,0,0,0,0,0,0,,,,,,,,,
10,7,2005.00,10/07/2005,0_10,5.00,D1,153,0,0,0,0,0,0,0,0,,,,,,,,,
21,7,2005.00,21/07/2005,0_10,5.00,D1,154,0,0,0,0,0,0,0,0,,,,,,,,,
31,7,2005.00,31/07/2005,0_10,5.00,D1,155,0,0,0,0,0,0,0,0,,,,,,,,,
9,8,2005.00,09/08/2005,0_10,5.00,D1,156,0,0,0,0,0,0,0,0,,,,,,,,,
20,8,2005.00,20/08/2005,0_10,5.00,D1,157,0,0,0,0,0,0,0,0,,,,,,,,,
31,8,2005.00,31/08/2005,0_10,5.00,D1,158,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
10,9,2005.00,10/09/2005,0_10,5.00,D1,159,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
20,9,2005.00,20/09/2005,0_10,5.00,D1,160,0,0,0,10,0,0,0,0,,,,,,,,,
1,10,2005.00,01/10/2005,0_10,5.00,D1,161,0,0,0,1,0,0,0,0,,,,,,,,,
11,10,2005.00,11/10/2005,0_10,5.00,D1,162,0,0,0,1,0,0,0,0,,,,,,,,,
20,10,2005.00,20/10/2005,0_10,5.00,D1,163,0,1,0,2,0,0,0,0,,,,,,,,,
31,10,2005.00,31/10/2005,0_10,5.00,D1,164,0,0,0,6,0,0,0,0,,,,,,,,,
9,11,2005.00,09/11/2005,0_10,5.00,D1,165,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
5,12,2005.00,05/12/2005,0_10,5.00,D1,166,0,0,0,1,0,0,0,0,,,,,,,,,
19,2,2006.00,19/02/2006,0_10,5.00,D1,167,7,0,0,0,0,0,0,0,,,,,,,,,
19,3,2006.00,19/03/2006,0_10,5.00,D1,168,2,0,1,4,0,0,0,0,,,,,,,,,
3,4,2006.00,03/04/2006,0_10,5.00,D1,169,3,0,0,5,0,0,0,0,,,,,,,,,
20,5,2006.00,20/05/2006,0_10,5.00,D1,170,18,0,10,0,0,2,20,14600,,,,,,,,,
31,5,2006.00,31/05/2006,0_10,5.00,D1,171,0,0,20,0,0,50,20,300,,,,,,,,,
10,6,2006.00,10/06/2006,0_10,5.00,D1,172,0,0,0,0,70,400,200,700,,,,,,,,,
20,6,2006.00,20/06/2006,0_10,5.00,D1,173,0,0,0,0,0,40,20,0,,,,,,,,,
29,6,2006.00,29/06/2006,0_10,5.00,D1,174,0,0,0,0,0,0,0,0,,,,,,,,,
10,7,2006.00,10/07/2006,0_10,5.00,D1,175,0,0,0,0,0,0,0,0,,,,,,,,,
20,7,2006.00,20/07/2006,0_10,5.00,D1,176,0,0,0,0,0,0,0,0,,,,,,,,,
31,7,2006.00,31/07/2006,0_10,5.00,D1,177,0,0,0,0,0,0,0,0,,,,,,,,,
10,8,2006.00,10/08/2006,0_10,5.00,D1,178,0,0,0,0,0,0,0,0,,,,,,,,,
20,8,2006.00,20/08/2006,0_10,5.00,D1,179,0,0,0,0,0,0,0,0,,,,,,,,,
30,8,2006.00,30/08/2006,0_10,5.00,D1,180,0,0,0,0,0,0,0,0,,,,,,,,,
10,9,2006.00,10/09/2006,0_10,5.00,D1,181,0,0,0,0,0,0,0,0,,,,,,,,,
20,9,2006.00,20/09/2006,0_10,5.00,D1,182,0,0,0,0,0,0,0,0,,,,,,,,,
29,9,2006.00,29/09/2006,0_10,5.00,D1,183,0,0,0,0,0,0,0,0,,,,,,,,,
10,10,2006.00,10/10/2006,0_10,5.00,D1,184,0,0,0,0,0,0,0,0,,,,,,,,,
19,10,2006.00,19/10/2006,0_10,5.00,D1,185,0,0,0,0,0,0,0,0,,,,,,,,,
30,10,2006.00,30/10/2006,0_10,5.00,D1,186,0,0,0,0,0,0,0,0,,,,,,,,,
14,11,2006.00,14/11/2006,0_10,5.00,D1,187,0,0,0,0,0,0,0,0,,,,,,,,,
18,3,2007.00,18/03/2007,0_10,5.00,D1,188,0,0,0,0,0,0,0,0,,,,,,,,,
21,5,2007.00,21/05/2007,0_10,5.00,D1,189,2,0,5,0,40,100,200,5200,,,,,,,,,
30,5,2007.00,30/05/2007,0_10,5.00,D1,190,10,0,32,0,200,500,200,2900,,,,,,,,,
10,6,2007.00,10/06/2007,0_10,5.00,D1,191,0,0,0,0,0,0,0,100,,,,,,,,,
20,6,2007.00,20/06/2007,0_10,5.00,D1,192,0,0,0,0,0,0,0,0,,,,,,,,,
30,6,2007.00,30/06/2007,0_10,5.00,D1,193,0,0,0,0,0,0,0,0,,,,,,,,,
9,7,2007.00,09/07/2007,0_10,5.00,D1,194,0,0,0,0,0,0,0,0,,,,,,,,,
20,7,2007.00,20/07/2007,0_10,5.00,D1,195,0,0,0,0,0,0,0,0,,,,,,,,,
1,8,2007.00,01/08/2007,0_10,5.00,D1,196,0,0,0,0,0,0,0,0,,,,,,,,,
11,8,2007.00,11/08/2007,0_10,5.00,D1,197,0,0,0,0,0,0,0,0,,,,,,,,,
20,8,2007.00,20/08/2007,0_10,5.00,D1,198,0,0,0,0,0,0,0,0,,,,,,,,,
30,8,2007.00,30/08/2007,0_10,5.00,D1,199,0,0,0,0,0,0,0,0,,,,,,,,,
10,9,2007.00,10/09/2007,0_10,5.00,D1,200,0,0,0,0,0,0,0,0,,,,,,,,,
20,9,2007.00,20/09/2007,0_10,5.00,D1,201,0,0,0,0,0,0,0,0,,,,,,,,,
30,9,2007.00,30/09/2007,0_10,5.00,D1,202,0,0,0,0,0,0,0,0,,,,,,,,,
10,10,2007.00,10/10/2007,0_10,5.00,D1,203,0,0,0,0,0,0,0,0,,,,,,,,,
20,10,2007.00,20/10/2007,0_10,5.00,D1,204,0,0,0,0,0,0,0,0,,,,,,,,,
29,10,2007.00,29/10/2007,0_10,5.00,D1,205,0,0,0,0,0,0,0,0,,,,,,,,,
8,11,2007.00,08/11/2007,0_10,5.00,D1,206,0,0,1,0,0,0,0,0,,,,,,,,,
4,12,2007.00,04/12/2007,0_10,5.00,D1,207,0,0,0,0,0,0,0,0,,,,,,,,,
17,3,2008.00,17/03/2008,0_10,5.00,D1,208,13,0,0,3,0,0,0,0,,,,,,,,,
22,3,2008.00,22/03/2008,0_10,5.00,D1,209,6,0,0,0,0,0,0,0,,,,,,,,,
27,3,2008.00,27/03/2008,0_10,5.00,D1,210,0,0,0,0,0,0,0,0,,,,,,,,,
21,5,2008.00,21/05/2008,0_10,5.00,D1,211,3,0,15,0,0,0,200,9400,,,,,,,,,
31,5,2008.00,31/05/2008,0_10,5.00,D1,212,12,0,12,0,1,40,200,13200,,,,,,,,,
11,6,2008.00,11/06/2008,0_10,5.00,D1,213,0,0,0,0,100,300,400,2000,,,,,,,,,
21,6,2008.00,21/06/2008,0_10,5.00,D1,214,0,0,0,0,30,180,85,1,,,,,,,,,
30,6,2008.00,30/06/2008,0_10,5.00,D1,215,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
9,7,2008.00,09/07/2008,0_10,5.00,D1,216,0,0,0,0,0,0,0,0,,,,,,,,,
20,7,2008.00,20/07/2008,0_10,5.00,D1,217,0,0,0,0,0,0,0,0,,,,,,,,,
31,7,2008.00,31/07/2008,0_10,5.00,D1,218,0,0,0,0,0,0,0,0,,,,,,,,,
11,8,2008.00,11/08/2008,0_10,5.00,D1,219,0,0,0,5,0,0,0,0,,,,,,,,,
20,8,2008.00,20/08/2008,0_10,5.00,D1,220,0,0,0,0,0,0,0,0,,,,,,,,,
3,9,2008.00,03/09/2008,0_10,5.00,D1,221,0,0,0,0,0,0,0,0,,,,,,,,,
10,9,2008.00,10/09/2008,0_10,5.00,D1,222,0,0,0,0,0,0,0,0,,,,,,,,,
21,9,2008.00,21/09/2008,0_10,5.00,D1,223,0,0,0,0,0,0,0,0,,,,,,,,,
1,10,2008.00,01/10/2008,0_10,5.00,D1,224,0,0,0,0,0,0,0,0,,,,,,,,,
9,10,2008.00,09/10/2008,0_10,5.00,D1,225,0,0,0,0,0,0,0,0,,,,,,,,,
20,10,2008.00,20/10/2008,0_10,5.00,D1,226,0,0,0,5,0,0,0,0,,,,,,,,,
29,10,2008.00,29/10/2008,0_10,5.00,D1,227,0,0,0,8,0,0,0,0,,,,,,,,,
15,11,2008.00,15/11/2008,0_10,5.00,D1,228,0,0,0,4,0,0,0,0,,,,,,,,,
10,12,2008.00,10/12/2008,0_10,5.00,D1,229,0,0,0,0,0,0,0,0,,,,,,,,,
22,2,2009.00,22/02/2009,0_10,5.00,D1,230,2,0,0,0,0,0,0,0,,,,,,,,,
15,3,2009.00,15/03/2009,0_10,5.00,D1,231,4,0,0,5,0,0,0,0,,,,,,,,,
11,4,2009.00,11/04/2009,0_10,5.00,D1,232,4,0,0,0,0,0,0,0,,,,,,,,,
25,5,2009.00,25/05/2009,0_10,5.00,D1,233,8,0,3,0,0,3,5,5100,,,,,,,,,
1,6,2009.00,01/06/2009,0_10,5.00,D1,234,1,0,1,0,0,40,100,6300,,,,,,,,,
10,6,2009.00,10/06/2009,0_10,5.00,D1,235,0,0,0,0,1,40,300,5600,,,,,,,,,
20,6,2009.00,20/06/2009,0_10,5.00,D1,236,0,0,0,0,0,0,10,10,,,,,,,,,
30,6,2009.00,30/06/2009,0_10,5.00,D1,237,0,0,0,40,300,0,0,0,,,,,,,,,
9,7,2009.00,09/07/2009,0_10,5.00,D1,238,0,0,0,0,0,0,0,0,,,,,,,,,
20,7,2009.00,20/07/2009,0_10,5.00,D1,239,0,0,0,0,0,0,0,0,,,,,,,,,
30,7,2009.00,30/07/2009,0_10,5.00,D1,240,0,0,0,0,0,0,0,0,,,,,,,,,
10,8,2009.00,10/08/2009,0_10,5.00,D1,241,0,0,0,0,0,0,0,0,,,,,,,,,
20,8,2009.00,20/08/2009,0_10,5.00,D1,242,0,0,0,0,0,0,0,0,,,,,,,,,
31,8,2009.00,31/08/2009,0_10,5.00,D1,243,0,0,0,0,0,0,0,0,,,,,,,,,
10,9,2009.00,10/09/2009,0_10,5.00,D1,244,0,0,0,0,0,0,0,0,,,,,,,,,
21,9,2009.00,21/09/2009,0_10,5.00,D1,245,0,0,0,1,0,0,0,0,,,,,,,,,
30,9,2009.00,30/09/2009,0_10,5.00,D1,246,0,0,0,0,0,0,0,0,,,,,,,,,
11,10,2009.00,11/10/2009,0_10,5.00,D1,247,0,0,0,0,0,0,0,0,,,,,,,,,
19,10,2009.00,19/10/2009,0_10,5.00,D1,248,0,0,0,0,0,0,0,0,,,,,,,,,
1,11,2009.00,01/11/2009,0_10,5.00,D1,249,0,0,0,0,0,0,0,0,,,,,,,,,
15,11,2009.00,15/11/2009,0_10,5.00,D1,250,0,0,0,0,0,0,0,0,,,,,,,,,
12,12,2009.00,12/12/2009,0_10,5.00,D1,251,0,0,0,1,0,0,0,0,,,,,,,,,
31,1,2010.00,31/01/2010,0_10,5.00,D1,252,1,0,0,0,0,0,0,0,,,,,,,,,
22,2,2010.00,22/02/2010,0_10,5.00,D1,253,0,0,0,0,0,0,0,0,,,,,,,,,
