ID;Species;Date;Region;Name;N_eggs;W_test;value;
4023_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;6;A_0;0;Angle
4024_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;4;A_0;0;Angle
4025_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;1;A_0;0;Angle
4026_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Начальная;4;A_15;15;Angle
4027_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Начальная;5;A_30;30;Angle
4028_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Начальная;4;A_90;90;Angle
4029_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Начальная;4;A_0;0;Angle
4030_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Начальная;4;A_0;0;Angle
4031_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Плоская;4;A_0;0;Angle
4032_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Плоская;2;A_0;0;Angle
4033_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;5;A_90;90;Angle
4034_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;5;A_90;90;Angle
4035_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;4;A_60;60;Angle
4036_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;2;A_31;31;Angle
4037_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;4;A_90;90;Angle
4038_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;5;A_90;90;Angle
4039_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;5;A_0;0;Angle
4040_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;5;A_90;90;Angle
4041_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;5;A_90;90;Angle
4042_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;1;A_0;0;Angle
4043_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;6;A_90;90;Angle
4044_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;4;A_60;60;Angle
4045_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;3;A_90;90;Angle
4046_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;5;A_60;60;Angle
4047_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;4;A_0;0;Angle
4048_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;7;A_90;90;Angle
4049_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;2;A_90;90;Angle
4050_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Головинка;2;A_90;90;Angle
4051_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;3;A_30;30;Angle
4052_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;4;A_90;90;Angle
4053_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;4;A_60;60;Angle
4054_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;5;A_0;0;Angle
4055_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;3;A_0;0;Angle
4056_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;4;A_0;0;Angle
4057_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;5;A_90;90;Angle
4058_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;4;A_90;90;Angle
4059_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;5;A_60;60;Angle
4060_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;6;A_90;90;Angle
4061_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;6;A_90;90;Angle
4062_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;6;A_0;0;Angle
4063_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;4;A_90;90;Angle
4064_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;6;A_0;0;Angle
4065_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;7;A_0;0;Angle
4066_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;6;A_0;0;Angle
4067_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;3;A_90;90;Angle
4068_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;6;A_60;60;Angle
4069_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;5;A_0;0;Angle
4070_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;4;A_90;90;Angle
4071_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;4;A_30;30;Angle
4072_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;5;A_90;90;Angle
4073_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;5;A_90;90;Angle
4074_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;5;A_90;90;Angle
4075_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;4;A_90;90;Angle
4076_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;3;A_0;0;Angle
4077_2022;Гага обыкновенная;14.06.2022;Северный архипелаг;Восточная;3;A_0;0;Angle
4078_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;4;A_0;0;Angle
4079_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;2;A_0;0;Angle
4080_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;4;A_90;90;Angle
4081_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;4;A_0;0;Angle
4082_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;3;A_0;0;Angle
4083_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;4;A_0;0;Angle
4084_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;4;A_90;90;Angle
4085_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;5;A_90;90;Angle
4086_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;3;A_0;0;Angle
4087_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;6;A_90;90;Angle
4088_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;5;A_90;90;Angle
4089_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;4;A_90;90;Angle
4090_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;3;A_90;90;Angle
4091_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;4;A_90;90;Angle
4092_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;5;A_90;90;Angle
4093_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;6;A_45;45;Angle
4094_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;6;A_90;90;Angle
4095_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;6;A_90;90;Angle
4096_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;6;A_90;90;Angle
4097_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;3;A_90;90;Angle
4098_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;3;A_90;90;Angle
4099_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;4;A_90;90;Angle
4100_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;5;A_90;90;Angle
4101_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Большая;6;A_90;90;Angle
4102_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Малая;3;A_0;0;Angle
4103_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Малая;12;A_15;15;Angle
4104_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Малая;6;A_90;90;Angle
4105_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Малая;7;A_90;90;Angle
4106_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Малая;4;A_45;45;Angle
4107_2022;Гага обыкновенная;19.06.2022;Северный архипелаг;Сеннуха Малая;4;A_0;0;Angle
4108_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_0;0;Angle
4109_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_0;0;Angle
4110_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;6;A_90;90;Angle
4111_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;9;A_45;45;Angle
4112_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;1;A_0;0;Angle
4113_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;3;A_90;90;Angle
4114_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;5;A_45;45;Angle
4115_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_60;60;Angle
4116_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;5;A_90;90;Angle
4117_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;2;A_90;90;Angle
4118_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;3;A_45;45;Angle
4119_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;3;A_0;0;Angle
4120_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;3;A_90;90;Angle
4121_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;3;A_45;45;Angle
4122_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;7;A_60;60;Angle
4123_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_90;90;Angle
4124_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;3;A_45;45;Angle
4125_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_45;45;Angle
4126_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;5;A_90;90;Angle
4127_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;5;A_90;90;Angle
4128_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_45;45;Angle
4129_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_44;44;Angle
4130_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_90;90;Angle
4131_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;8;A_90;90;Angle
4132_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;2;A_0;0;Angle
4133_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;2;A_0;0;Angle
4134_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_90;90;Angle
4135_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;5;A_45;45;Angle
4136_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;8;A_90;90;Angle
4137_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_90;90;Angle
4138_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_90;90;Angle
4139_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;3;A_90;90;Angle
4140_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_90;90;Angle
4141_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;3;A_90;90;Angle
4142_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;3;A_90;90;Angle
4143_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;6;A_0;0;Angle
4144_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_90;90;Angle
4145_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;5;A_90;90;Angle
4146_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;3;A_75;75;Angle
4147_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;3;A_0;0;Angle
4148_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;5;A_90;90;Angle
4149_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;3;A_0;0;Angle
4150_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_75;75;Angle
4151_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_45;45;Angle
4152_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_90;90;Angle
4153_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;5;A_90;90;Angle
4154_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;5;A_45;45;Angle
4155_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;3;A_45;45;Angle
4156_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_45;45;Angle
4157_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;2;A_45;45;Angle
4158_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;8;A_90;90;Angle
4159_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_90;90;Angle
4160_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;6;A_45;45;Angle
4161_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;8;A_0;0;Angle
4162_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_20;20;Angle
4163_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;3;A_0;0;Angle
4164_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;8;A_0;0;Angle
4165_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;2;A_30;30;Angle
4166_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;2;A_90;90;Angle
4167_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;5;A_45;45;Angle
4168_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;5;A_90;90;Angle
4169_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_90;90;Angle
4170_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_90;90;Angle
4171_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;1;A_0;0;Angle
4172_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;3;A_0;0;Angle
4173_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_90;90;Angle
4174_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;5;A_90;90;Angle
4175_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_90;90;Angle
4176_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;6;A_90;90;Angle
4177_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;4;A_45;45;Angle
4178_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;6;A_90;90;Angle
4179_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Ирвасиха;8;A_90;90;Angle
4180_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Крошка;8;A_90;90;Angle
4181_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Крошка;8;A_90;90;Angle
4182_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Крошка;3;A_0;0;Angle
4183_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Крошка;2;A_90;90;Angle
4184_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Крошка;1;A_0;0;Angle
4185_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Крошка;2;A_15;15;Angle
4186_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Крошка;1;A_0;0;Angle
4187_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Крошка;4;A_0;0;Angle
4188_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Крошка;5;A_0;0;Angle
4189_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Крошка;3;A_90;90;Angle
4190_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Крошка;1;A_90;90;Angle
4191_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Крошка;2;A_30;30;Angle
4192_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Гульмаха Малая;2;A_90;90;Angle
4193_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Гульмаха Малая;4;A_45;45;Angle
4194_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Гульмаха Малая;3;A_45;45;Angle
4195_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Гульмаха Малая;3;A_45;45;Angle
4196_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Гульмаха Малая;2;A_0;0;Angle
4197_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Гульмаха Малая;6;A_90;90;Angle
4198_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Гульмаха Малая;5;A_90;90;Angle
4199_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Гульмаха Малая;7;A_90;90;Angle
4200_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Гульмаха Малая;5;A_90;90;Angle
4201_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;4;A_45;45;Angle
4202_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;6;A_90;90;Angle
4203_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;7;A_45;45;Angle
4204_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;4;A_90;90;Angle
4205_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;3;A_0;0;Angle
4206_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;5;A_90;90;Angle
4207_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;4;A_0;0;Angle
4208_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;3;A_45;45;Angle
4209_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;4;A_90;90;Angle
4210_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;6;A_45;45;Angle
4211_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;2;A_90;90;Angle
4212_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;5;A_45;45;Angle
4213_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;4;A_0;0;Angle
4214_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;1;A_45;45;Angle
4215_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;4;A_45;45;Angle
4216_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;5;A_90;90;Angle
4217_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;5;A_90;90;Angle
4218_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;4;A_90;90;Angle
4219_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;6;A_90;90;Angle
4220_2022;Гага обыкновенная;20.06.2022;Северный архипелаг;Добрушка;4;A_45;45;Angle
4221_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Анисимов;5;A_90;90;Angle
4222_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Анисимов;4;A_45;45;Angle
4223_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Анисимов;4;A_45;45;Angle
4224_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Анисимов;3;A_90;90;Angle
4225_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Анисимов;6;A_45;45;Angle
4226_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Анисимов;5;A_15;15;Angle
4227_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Анисимов;5;A_90;90;Angle
4228_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Анисимов;4;A_90;90;Angle
4229_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Анисимов;5;A_90;90;Angle
4230_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Горелый;3;A_0;0;Angle
4231_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Горелый;1;A_0;0;Angle
4232_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Горелый;3;A_90;90;Angle
4233_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Горелый;5;A_90;90;Angle
4234_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Горелый;4;A_45;45;Angle
4235_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Горелый;4;A_0;0;Angle
4236_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Горелый;5;A_90;90;Angle
4237_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Горелый;5;A_90;90;Angle
4238_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Горелый;4;A_90;90;Angle
4239_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Горелый;6;A_90;90;Angle
4240_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Горелый;5;A_90;90;Angle
4241_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Горелый;7;A_90;90;Angle
4242_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Горелый;3;A_0;0;Angle
4243_2022;Гага обыкновенная;27.06.2022;Северный архипелаг;Горелый;7;A_90;90;Angle
4244_2022;Гага обыкновенная;24.06.2022;Северный архипелаг;Седловатая;3;A_0;0;Angle
4245_2022;Гага обыкновенная;24.06.2022;Северный архипелаг;Седловатая;3;A_0;0;Angle
4246_2022;Гага обыкновенная;24.06.2022;Северный архипелаг;Седловатая;5;A_90;90;Angle
4247_2022;Гага обыкновенная;24.06.2022;Северный архипелаг;Седловатая;5;A_90;90;Angle
4248_2022;Гага обыкновенная;24.06.2022;Северный архипелаг;Седловатая;5;A_90;90;Angle
4249_2022;Гага обыкновенная;24.06.2022;Северный архипелаг;Седловатая;2;A_45;45;Angle
4250_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Поперечная Луда Вторая;3;A_0;0;Angle
4251_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Поперечная Луда Вторая;5;A_0;0;Angle
4252_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Поперечная Луда Вторая;4;A_0;0;Angle
4253_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Поперечная Луда Вторая;7;A_0;0;Angle
4254_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Поперечная Луда Вторая;5;A_90;90;Angle
4255_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Поперечная Луда Вторая;4;A_90;90;Angle
4256_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Поперечная Луда Вторая;7;A_90;90;Angle
4257_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;5;A_0;0;Angle
4258_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;5;A_15;15;Angle
4259_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;5;A_15;15;Angle
4260_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;5;A_90;90;Angle
4261_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;4;A_90;90;Angle
4262_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;2;A_0;0;Angle
4263_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;6;A_90;90;Angle
4264_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;4;A_90;90;Angle
4265_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;4;A_0;0;Angle
4266_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;8;A_90;90;Angle
4267_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;6;A_0;0;Angle
4268_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;4;A_0;0;Angle
4269_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Начальная;4;A_15;15;Angle
4270_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Начальная;5;A_30;30;Angle
4271_2022;Гага обыкновенная;13.06.2022;Северный архипелаг;Начальная;4;A_90;90;Angle
