Species;valid_name;phylum;class;1_M_1995;2_M_1995;3_M_1995;4_M_1995;5_M_1995;6_M_1995;1_M_1996;2_M_1996;3_M_1996;4_M_1996;5_M_1996;1_M_1997;2_M_1997;3_M_1997;4_M_1997;5_M_1997;1_M_1998;2_M_1998;3_M_1998;4_M_1998;5_M_1998;1_M_1999;2_M_1999;3_M_1999;4_M_1999;5_M_1999;6_M_1999;7_M_1999;8_M_1999;9_M_1999;10_M_1999;1_M_2000;2_M_2000;3_M_2000;4_M_2000;5_M_2000;6_M_2000;1_M_2001;2_M_2001;3_M_2001;4_M_2001;5_M_2001;6_M_2001;1_M_2002;2_M_2002;3_M_2002;4_M_2002;5_M_2002;6_M_2002;1_M_2003;2_M_2003;3_M_2003;4_M_2003;5_M_2003;6_M_2003;1_M_2004;2_M_2004;3_M_2004;4_M_2004;5_M_2004;6_M_2004;1_M_2005;2_M_2005;3_M_2005;4_M_2005;5_M_2005;6_M_2005;1_M_2007;2_M_2007;3_M_2007;4_M_2007;5_M_2007;6_M_2007;7_M_2007;1_M_2008;2_M_2008;3_M_2008;4_M_2008;5_M_2008;6_M_2008;1_M_2009;2_M_2009;3_M_2009;4_M_2009;5_M_2009;6_M_2009;7_M_2009;3_M_2010;8_M_2010;2_M_2010;6_M_2010;4_M_2010;7_M_2010;5_M_2010;1_M_2010;1_M_2011;2_M_2011;3_M_2011;4_M_2011;5_M_2011;6_M_2011;1_M_2012;2_M_2012;3_M_2012;4_M_2012;5_M_2012;6_M_2012;1_M_2013;2_M_2013;3_M_2013;4_M_2013;5_M_2013;6_M_2013;1_M_2014;2_M_2014;3_M_2014;4_M_2014;5_M_2014;6_M_2014;5_M_2015;6_M_2015;1_M_2015;8_M_2015;2_M_2015;3_M_2015;7_M_2015;3_M_2016;6_M_2016;4_M_2016;5_M_2016;1_M_2016;2_M_2019;1_M_2019;3_M_2019;1_M_2022;4_M_2022;2_M_2022;5_M_2022;6_M_2022;1_M_2024;2_M_2024;3_M_2024;4_M_2024;5_M_2024;6_M_2024;7_M_2024;8_M_2024;9_M_2024;;
Apherusa bispinosa;Apherusa bispinosa;Arthropoda;Malacostraca;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
Apherusa tridentata;Apherusa tridentata;Arthropoda;Malacostraca;0 ;0 ;0 ;0 ;0 ;4 ;0 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
Ariadnaria borealis;Ariadnaria borealis;Mollusca;Gastropoda;1 ;2 ;1 ;1 ;5 ;12 ;3 ;1 ;2 ;2 ;1 ;0 ;1 ;1 ;1 ;1 ;7 ;1 ;2 ;0 ;4 ;0 ;3 ;4 ;4 ;0 ;1 ;3 ;1 ;4 ;5 ;1 ;1 ;1 ;2 ;0 ;1 ;1 ;0 ;0 ;6 ;1 ;7 ;15 ;0 ;0 ;4 ;1 ;6 ;9 ;0 ;6 ;1 ;0 ;1 ;5 ;0 ;2 ;2 ;7 ;1 ;1 ;4 ;1 ;1 ;4 ;0 ;0 ;0 ;7 ;2 ;3 ;3 ;2 ;3 ;7 ;7 ;3 ;0 ;3 ;0 ;0 ;3 ;13 ;0 ;0 ;0 ;0 ;12 ;1 ;2 ;1 ;1 ;4 ;1 ;2;2 ;12 ;1 ;3 ;8 ;3 ;1 ;4 ;4 ;2 ;0 ;2 ;5 ;3 ;1 ;0 ;3 ;5 ;3 ;6 ;1 ;0 ;5 ;0 ;11 ;5 ;8 ;1 ;2 ;3;5 ;1 ;1 ;0 ;1 ;1 ;4 ;1 ;1 ;0 ;0 ;0 ;0 ;2 ;4 ;2 ;1 ;0 ;1 ;0 ;0 ;12 ;;
Aricidea nolani;Aricidea nolani;Annelida;Polychaeta;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
Ascidia;Ascidia;Chordata;Ascidiacea;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;11 ;6 ;0 ;0 ;0 ;1 ;0 ;0 ;1 ;0 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;1 ;0 ;4 ;0 ;0 ;1 ;7 ;1 ;0 ;2 ;6 ;3 ;8 ;1 ;2 ;0 ;18 ;18 ;9 ;13 ;3 ;48 ;67 ;162 ;48 ;13 ;23 ;65 ;1 ;33 ;0 ;5 ;22 ;14 ;16;1 ;1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;1 ;0 ;1 ;;
Asterias rubens;Asterias rubens;Echinodermata;Asteroidea;0 ;0 ;1 ;1 ;1 ;1 ;3 ;1 ;0 ;0 ;2 ;0 ;0 ;1 ;1 ;0 ;1 ;0 ;0 ;0 ;2 ;0 ;14 ;1 ;0 ;2 ;0 ;0 ;0 ;1 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;1 ;1 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0 ;1;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;1 ;1 ;1 ;0 ;0 ;1 ;6 ;2 ;0 ;0 ;2 ;0 ;1 ;0 ;1 ;1 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;1 ;0 ;1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;0 ;2 ;0 ;1 ;9 ;2 ;;
Autolytus prismaticus;Proceraea prismatica;Annelida;Polychaeta;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;1 ;0 ;0 ;0 ;0 ;0 ;1 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;6 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
Autolytus sp.;Myrianida;Annelida;Polychaeta;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;1 ;4 ;1 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
Balanus balanus;Balanus balanus;Arthropoda;Thecostraca;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;23 ;7 ;3 ;1 ;6 ;15 ;6 ;7 ;34 ;17 ;1 ;2 ;5 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;0 ;0 ;0 ;67 ;2 ;0 ;3 ;94 ;0 ;0 ;6 ;31 ;0 ;2 ;0 ;35;16 ;368 ;11 ;6 ;4 ;0 ;0 ;16 ;0 ;0 ;0 ;439 ;58 ;154 ;112 ;19 ;127 ;67 ;358 ;27 ;16 ;16 ;12 ;1 ;82 ;0 ;1 ;0 ;0 ;4;4 ;5 ;7 ;0 ;5 ;15 ;36 ;6 ;0 ;0 ;0 ;1 ;1 ;2 ;6 ;14 ;11 ;1 ;16 ;32 ;0 ;5 ;;
Balanus crenatus;Balanus crenatus;Arthropoda;Thecostraca;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;25 ;1 ;1 ;4 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;1 ;5 ;1 ;0 ;0 ;0 ;1 ;1 ;0 ;1 ;0 ;1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;1 ;1 ;21 ;0 ;3 ;0 ;0 ;0 ;0 ;0 ;42 ;0 ;16 ;0 ;0 ;0 ;0 ;14;1 ;3 ;0 ;31 ;0 ;0 ;8 ;0 ;0 ;0 ;0 ;4 ;0 ;0 ;0 ;0 ;0 ;14 ;12 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;43;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
Balanus sp.;Balanus;Arthropoda;Thecostraca;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;31 ;36 ;4 ;0 ;1 ;7 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0 ;0 ;0 ;0 ;2 ;1 ;1 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;9 ;0 ;3 ;0 ;0 ;0 ;0 ;0 ;7 ;0 ;25 ;0 ;22 ;0 ;38 ;0 ;0 ;0 ;0 ;0 ;0 ;17 ;2 ;0 ;411 ;37 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;56 ;23 ;2 ;0 ;0 ;5 ;0 ;81 ;0 ;4 ;0 ;0 ;48;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
Boltenia echinata;Boltenia echinata;Chordata;Ascidiacea;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;5 ;2 ;0 ;0 ;1 ;0 ;0 ;0 ;9;0 ;2 ;0 ;1 ;2 ;2 ;2 ;1 ;3 ;0 ;1 ;14 ;6 ;6 ;8 ;2 ;8 ;6 ;17 ;5 ;4 ;0 ;0 ;1;1 ;0 ;0 ;0 ;0 ;2;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
Boreotrophon clathratus;Boreotrophon clathratus;Mollusca;Gastropoda;1 ;4 ;2 ;0 ;0 ;0 ;1 ;0 ;2 ;1 ;3 ;0 ;0 ;0 ;1 ;1 ;1 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;2 ;0 ;0 ;0 ;1 ;1 ;1 ;0 ;2 ;1 ;0 ;0 ;0 ;1 ;3 ;0 ;2 ;1 ;4 ;0 ;0 ;0 ;0 ;4 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;1 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;2 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;1;4 ;1 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;1 ;;
Boreotrophon truncatus;Boreotrophon truncatus;Mollusca;Gastropoda;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;1 ;3 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;2 ;0 ;0 ;0 ;1 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;3 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;4 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;;
Brachydiastylis resima;Brachydiastylis resima;Arthropoda;Malacostraca;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
Brada sp.;Brada;Annelida;Polychaeta;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
Branchiomma arctica;Branchiomma arcticum;Annelida;Polychaeta;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
Bryozoa gen.sp.;Bryozoa;Bryozoa;;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;1 ;0 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;1 ;1 ;1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;1 ;0 ;0 ;0 ;1 ;0 ;1 ;0 ;1 ;1 ;0 ;1 ;0 ;1;1 ;1 ;1 ;0 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;0 ;0 ;1;1 ;1 ;1 ;1 ;1 ;1;1 ;1 ;1 ;1 ;0 ;0 ;0 ;0 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;;
Buccinum ciliatum;Buccinum ciliatum;Mollusca;Gastropoda;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;;
Buccinum elatior;Buccinum scalariforme;Mollusca;Gastropoda;1 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
