Sample_ID;Year;Period;Transect;Habitat;Depth2;Depth;Monitoring;Kelps;Cover_scores;Distance;Slope_new;Width;N;W;Age1;Age2;Age3;Age4;Age5;Age6;Age7;Age8;Age9;Age10;Age11;Age12;Age2_3;Age4_6;Age7_9;Age10_12;OGP_old;OGP;max_L;PT;N_for_PT;Ptros
MoS_1_04;2004;1;MoS;rocks;1;-1;1;0;3;2550;0.16722408;11.2;2600;2140.68;0;0;0;800;500;0;300;600;300;100;0;0;0;1300;1200;100;0.566730851;0.58;33.6;NA;NA;NA
MoS_0.5_04;2004;1;MoS;rocks;0.5;-0.5;1;0;3;2550;0.372208437;11.2;7800;8398.67;0;100;100;2000;3300;1200;500;200;100;0;300;0;200;6500;800;300;1.033530868;1.03;38.5;0.81;58;0.616330065
SS_0.5_05;2005;1;SS;shoals;0.5;-0.5;1;0;4;650;0.004524614;390;2800;5370;33.33333333;200;300;366.6666667;466.6666667;800;433.3333333;66.66666667;100;33.33333333;0;0;500;1633.333333;600;33.33;0.84;0.95;66.6;0.71;62;0.483505987
R_0.5_05;2005;1;R;shoals;0.5;-0.5;1;0;2;0;0.005005005;220;600;2841.83;0;0;0;0;190;50;10;10;20;80;80;160;0;240;40;320;0.98;0.99;60.6;0.82;17;0.629016523
BN_2_09;2009;2;BN;shoals;2;-2;2;0;4;250;0.047619048;110;21;22.5;0;3;3;9;6;0;0;0;0;0;0;0;6;15;0;0;0.874658051;0.91;33.3;0.81;26;0.616330065
BN_1.5_09;2009;2;BN;shoals;1.5;-1.5;2;0;4;250;0.015037594;110;235.7;94.37142857;8.57;38.57;98.57;72.85;17.14;0;0;0;0;0;0;0;137.14;89.99;0;0;0.774768025;0.91;28.4;0.81;26;0.616330065
BN_1_09;2009;2;BN;shoals;1;-1;2;0;4;250;0.014285714;110;210;126.7;0;82.5;71.25;18.75;37.5;0;0;0;0;0;0;0;153.75;56.25;0;0;0.951079197;1.28;31;0.571428571;21;0.306977989
BN_0.5_09;2009;2;BN;bed;0.5;-0.5;2;0;3;250;0.035714286;110;2820;1749.3;10;280;830;1050;470;120;40;0;10;10;0;0;1110;1640;50;10;0.832507533;0.82;54.3;0.488372093;86;0.220493863
BN_-0.5_09;2009;2;BN;bed;-0.5;0.5;2.5;0;1;250;0.071428571;110;6037.3;7872.9;69.33;1136;1237.33;1498.66;1109.33;522.66;277.33;53.33;37.33;32;37.33;26.66;2373.33;3130.65;367.99;95.99;0.824159756;0.87;75.8;0.347107438;121;0.116539137
BS_2_09;2009;2;BS;shoals;2;-2;2;0;3;420;0.038961039;460;46.66666667;291.1;0;1.66;6.66;13.33;6.66;3.33;11.66;0;0;1.66;1.66;0;8.32;23.32;11.66;3.32;0.986444323;1.08;66.3;0.476190476;21;0.209395766
BS_1.5_09;2009;2;BS;shoals;1.5;-1.5;2;0;3;420;0.057142857;460;186;173.19;0;60;54;30;24;18;0;0;0;0;0;0;114;72;0;0;0.862070765;1.21;33.6;0.45;20;0.186942614
BS_1_09;2009;2;BS;shoals;1;-1;2;0;4;420;0.035714286;460;140;71.8;5;40;45;25;0;20;0;0;0;0;0;0;85;45;0;0;0.860744723;0.98;36.3;0.45;20;0.186942614
BS_0.5_09;2009;2;BS;bed;0.5;-0.5;2;0;3;420;0.007518797;460;2870;4873.3;0;280;460;1060;540;220;130;20;40;70;50;0;740;1820;190;120;0.9553576;1.02;59.5;0.23943662;71;0.068686566
BS_-0.5_09;2009;2;BS;bed;-0.5;0.5;2;0;1;420;0.002574003;460;6357.3;6513.4;0;378.66;2352;1989.33;416;250.66;224;464;165.33;112;5.33;0;2730.66;2655.99;853.33;117.33;0.87205512;0.95;50.2;0.054794521;73;0.026490805
BS_-1.5_09;2009;2;BS;bed;-1.5;1.5;2;0;1;420;0.001785714;460;6389.3;7578.6;85.33;704;1738.66;1429.33;426.66;170.66;586.66;480;448;192;128;0;2442.66;2026.65;1514.66;320;0.767374161;0.9;48.3;0.0625;112;0.027585282
MidN_2_09;2009;2;MidN;rocks;2;-2;2;0;4;1750;0.084889643;16.5;420;150.6;0;40;230;130;20;0;0;0;0;0;0;0;270;150;0;0;0.99;0.74;29.9;1;15;0.817574476
MidN_1.5_09;2009;2;MidN;rocks;1.5;-1.5;2;0;5;1750;0.083542189;16.5;1430;913.5;0;200;700;400;80;40;10;0;0;0;0;0;900;520;10;0;0.678704075;0.74;36.6;0.754385965;57;0.543312227
MidN_1_09;2009;2;MidN;rocks;1;-1;2;0;3;1750;0.122399021;16.5;2820;1048.4;30;900;1270;400;100;70;20;0;10;0;0;0;2170;570;30;0;0.693874619;0.76;45.4;0.58974359;78;0.328410131
MidN_0.5_09;2009;2;MidN;rocks;0.5;-0.5;2;0;3;1750;0.493421053;16.5;7220;2312.7;840;3130;2530;610;90;20;10;0;0;0;0;0;5660;720;10;0;0.756869165;0.85;36;0.666666667;60;0.425557483
MidN_-0.5_09;2009;2;MidN;kelps;-0.5;0.5;2.5;1;3;1750;1.315789474;16.5;608;1074.133333;0;192;208;122.66;69.33;10.66;0;0;0;0;0;0;400;202.65;0;0;0.961271795;1.06;62.9;0.842105263;57;0.656417198
MidN_-1.5_09;2009;2;MidN;kelps;-1.5;1.5;2;1;4;1750;1.973684211;16.5;1562.666667;2341.333333;0;325.33;490.66;522.66;218.66;5.33;0;0;0;0;0;0;815.99;746.65;0;0;0.874554436;1.21;48.9;0.726618705;139;0.505934973
MidN_-3.5_09;2009;2;MidN;kelps;-3.5;3.5;2.5;1;5;1750;2.105263158;16.5;192;1650.1;0;0;21.33;26.66;42.66;10.66;5.33;32;26.66;10.66;16;0;21.33;79.98;63.99;26.66;0.994469195;1.19;62.9;0.433333333;30;0.173646647
MoN_2_10;2010;2;MoN;rocks;2;-2;2;0;4;2700;0.347222222;8;3266.666667;1176.7;0;0;1000;966.6666667;633.3333333;166.6666667;200;66.66666667;133.3333333;33.33333333;66.66666667;0;1000;1766.666667;400;100;0.84;0.81;32.4;0.8;30;0.60348325
MoN_1.5_10;2010;2;MoN;rocks;1.5;-1.5;2;0;4;2700;0.347222222;8;11233.33333;4147.3;66.66666667;2266.666667;2200;2833.333333;2166.666667;1033.333333;400;200;33.33333333;0;33.33333333;0;4466.666667;6033.333333;633.3333333;33.33333333;0.62;0.7;51.2;0.8;30;0.60348325
MoN_1_10;2010;2;MoN;rocks;1;-1;2;0;4;2700;0.396825397;8;4733.333333;1547;200;1233.333333;1566.666667;1300;266.6666667;66.66666667;33.33333333;0;33.33333333;33.33333333;0;0;2800;1633.333333;66.66666667;33.33333333;0.76;1.25;32.4;0.633333333;30;0.382252125
MoN_0.5_10;2010;2;MoN;rocks;0.5;-0.5;2;0;3;2700;0.347222222;8;19100;4490.7;4666.666667;10200;3266.666667;766.6666667;200;0;0;0;0;0;0;0;13466.66667;966.6666667;0;0;0.89;0.87;37.2;0.740740741;27;0.524979187
MoN_-0.5_10;2010;2;MoN;kelps;-0.5;0.5;2.5;1;3;2700;0.505050505;8;31433.33333;9894;14033.33333;15900;1100;300;100;0;0;0;0;0;0;0;17000;400;0;0;1.06;1.11;43.8;0.909090909;11;0.732842201
MoN_-1.5_10;2010;2;MoN;kelps;-1.5;1.5;2.5;1;3;2700;1.388888889;8;10266.66667;5976.7;2033.333333;4500;1966.666667;900;533.3333333;200;100;33.33333333;0;0;0;0;6466.666667;1633.333333;133.3333333;0;0.96;1.23;45.7;0.5;30;0.231475217
MoS_2_09;2009;2;MoS;rocks;2;-2;2.5;0;3;2550;0.16722408;11.2;2366.6;1917.6;100;433.33;300;766.66;233.333;166.66;133.33;100;133.33;0;0;0;733.33;1166.653;366.66;0;0.640585278;0.66;42.6;0.6875;32;0.453261848
MoS_1.5_09;2009;2;MoS;rocks;1.5;-1.5;2;0;3;2550;0.153846154;11.2;6800;2032.3;33.33;1500;3266.66;1000;100;33.33;166.66;166.66;266.66;133.33;133.33;0;4766.66;1133.33;599.98;266.66;0.647789686;0.84;36.1;0.631578947;19;0.380017562
MoS_1_09;2009;2;MoS;rocks;1;-1;2;0;3;2550;0.16722408;11.2;9566.6;2489.6;1033.33;2300;2566.66;2200;866.66;466.66;133.33;0;0;0;0;0;4866.66;3533.32;133.33;0;0.585686977;0.66;30.4;0.542857143;70;0.275165338
MoS_0.5_09;2009;2;MoS;rocks;0.5;-0.5;2;0;3;2550;0.372208437;11.2;15066.66;2311.67;6266.66;4166.66;2533.33;1466.66;533.33;100;0;0;0;0;0;0;6699.99;2099.99;0;0;0.82;0.96;35.2;0.4;30;0.149312935
MoS_-0.5_09;2009;2;MoS;kelps;-0.5;0.5;2.5;1;3;2550;0.904977376;11.2;38560;4428.1;20120;8820;8120;1400;80;0;0;20;0;0;0;0;16940;1480;20;0;0.77;0.93;23.6;0.424242424;33;0.166714867
MoS_-1.5_09;2009;2;MoS;kelps;-1.5;1.5;2;1;3;2550;1.538461538;11.2;7860;9975.1;3430;1660;1240;420;170;40;90;90;200;400;110;10;2900;630;380;520;0.95;1.1;86.7;0.463414634;41;0.198203433
R _0.5_09;2009;2;R;shoals;0.5;-0.5;2;0;2;0;0.005005005;220;292.5;1027.5;0;0;7.5;127.5;120;22.5;0;7.5;7.5;0;0;0;7.5;270;15;0;1.05;1.05;54.4;0.689655172;29;0.456147445
SN_2_10;2010;2;SN;shoals;2;-2;2.5;0;3;800;0.028490028;107;750;313.1;0;30;90;460;160;0;0;0;0;10;0;0;120;620;0;10;0.87;0.74;48.4;0.787878788;33;0.587719404
SN_1.5_10;2010;2;SN;shoals;1.5;-1.5;2.5;0;3;800;0.02787068;107;400;215.3;0;0;40;220;120;20;0;0;0;0;0;0;40;360;0;0;0.89;0.77;28.4;0.44;52;0.178873254
SN_1_10;2010;2;SN;shoals;1;-1;2.5;0;4;800;0.030165913;107;250;517.1;0;0;10;150;90;50;20;10;10;0;10;0;10;290;40;10;0.89;0.92;57.3;0.44;52;0.178873254
SN_0.5_10;2010;2;SN;bed;0.5;-0.5;2.5;0;4;800;0.032051282;107;566.6;649.3;33.33333333;233.3333333;0;100;166.6666667;0;0;33.33333333;0;0;0;0;233.3333333;266.6666667;33.33333333;0;0.95;1.04;45.6;0.54;13;0.272098818
SN_-0.5_10;2010;2;SN;bed;-0.5;0.5;2.5;0;1;800;0.042034468;107;1533.33;806;300;966.6666667;133.3333333;33.33333333;100;33.33333333;0;0;0;0;0;0;1100;166.6666667;0;0;0.95;0.97;43.6;0.54;13;0.272098818
SN_-1.5_10;2010;2;SN;bed;-1.5;1.5;2.5;0;1;800;0.124069479;107;466.67;1117;66.66666667;66.66666667;0;33.33333333;166.6666667;66.66666667;33.33333333;33.33333333;0;0;0;0;66.66666667;266.6666667;66.66666667;0;0.86;0.86;55.3;0.16;12;0.045825756
SN_-3.5_10;2010;2;SN;bed;-3.5;3.5;2.5;0;1;800;0.233100233;107;3266.67;3602;666.6666667;633.3333333;500;866.6666667;300;166.6666667;100;33.33333333;0;0;0;0;1133.333333;1333.333333;133.3333333;0;0.79;0.85;54.2;0.045454545;22;0.025220713
SS_1.5_10;2010;2;SS;shoals;1.5;-1.5;2.5;0;4;650;0.012993763;390;32.5;73.7;0;0;7.5;2.5;12.5;5;0;2.5;0;2.5;0;0;7.5;20;2.5;2.5;0.79;0.9;55.5;0.84;19;0.653848696
SS_1_10;2010;2;SS;shoals;1;-1;2.5;0;4;650;0.003157363;390;156;132;6;42;42;12;30;6;18;0;0;0;0;0;84;48;18;0;0.79;0.78;40.9;0.84;19;0.653848696
SS_0.5_10;2010;2;SS;bed;0.5;-0.5;2;0;4;650;0.004524614;390;2133.33;1751;966.67;600;233.33;133.33;100;33.33;0;0;33.33;0;0;33.33;833.33;266.66;33.33;33.33;0.81;1.12;77.4;0.32;19;0.102293229
SS_-0.5_10;2010;2;SS;bed;-0.5;0.5;2.5;0;1;650;0.025987526;390;900;3106;0;200;266.67;33.33;166.67;100;33.33;0;0;66.67;66.67;0;466.67;300;33.33;133.34;0.81;1.01;82.6;0.32;19;0.102293229
SS_-1.5_10;2010;2;SS;bed;-1.5;1.5;2.5;0;1;650;0.04222973;390;133.3;1058.3;0;33.33;0;0;33.33;0;33.33;0;0;33.33;0;0;33.33;33.33;33.33;33.33;0.86;1.27;80.9;0.16;12;0.045825756
BS_0.5_10;2010;2;BS;bed;0.5;-0.5;2.3;0;3;420;0.007518797;460;3610;4039.3;0;20;330;1120;1500;410;160;30;10;20;10;0;350;3030;200;30;0.75;0.82;61.6;0.07;42;0.028692704
BS_0.5_12;2012;3;BS;bed;0.5;-0.5;3;0;3;420;0.007518797;460;31642;15290.2;21554;4329;2132;1469;1196;494;156;260;52;0;0;0;6461;3159;468;0;1.04;1.3;56.1;0.377777778;45;0.134703052
MidN_0.5_12;2012;3;MidN;rocks;0.5;-0.5;3;0;3;1750;0.493421053;16.5;3402.67;466;106.7;1141.3;1413.3;394.7;85.3;80;69.3;74.7;26.7;10.7;0;0;2554.6;560;170.7;10.7;0.61;0.67;48.5;0.980392157;51;0.801248788
MidN_-1.5_12;2012;3;MidN;kelps;-1.5;1.5;3;1;4;1750;1.973684211;16.5;844;1154.2;26.7;248;88;129.3;172;122.7;29.3;8;5.3;6.7;6.7;1.3;336;424;42.6;14.7;1;1.29;58.1;0.670731707;82;0.430932208
MoS_0.5_12;2012;3;MoS;rocks;0.5;-0.5;3;0;3;2550;0.372208437;11.2;49997.3;4366.4;12604;22637.3;7648;4265.3;2028;452;226.7;77.3;53.3;5.3;0;0;30285.3;6745.3;357.3;5.3;0.62;0.68;37.3;0.783783784;74;0.582351107
MoS_-1.5_12;2012;3;MoS;kelps;-1.5;1.5;3;1;3;2550;1.538461538;11.2;3481.33;1471.6;1424;1652;216;49.3;16;13.3;13.3;5.3;5.3;1.3;0;85.3;1868;78.6;23.9;86.6;0.71;0.96;92.3;0.685714286;35;0.450873293
BS_0.5_18;2018;4;BS;bed;0.5;-0.5;4;0;3;420;0.007518797;460;1364;641.8;192;744;124;108;96;48;32;16;4;0;0;0;868;252;52;0;0.76;0.95;48.9;0.065989009;40;0.028095194
BS_-1.5_18;2018;4;BS;bed;-1.5;1.5;4;0;1;420;0.001785714;460;15624;15953.09333;840;2576;3388;4386.666667;2389.333333;578.6666667;560;504;280;18.66666667;0;93.33333333;5964;7354.666667;1344;112;0.77;0.85;77.2;0.06008665;40;0.027237849
MidN_0.5_18;2018;4;MidN;rocks;0.5;-0.5;4;0;3;1750;0.493421053;16.5;2626.7;1489.6;26.66666667;40;453.3333333;600;720;480;280;26.66666667;0;0;0;0;493.3333333;1800;306.6666667;0;0.71;0.75;35.9;0.18;40;0.050786653
MidN_-1.5_18;2018;4;MidN;kelps;-1.5;1.5;4;1;4;1750;1.973684211;16.5;961.3;2091;0;0;84;224;186.67;177.33;121.33;74.67;84;0;0;9.33;84;588;280;158.67;1.02;0.99;68.3;0.35;40;0.118156978
MoS_0.5_18;2018;4;MoS;rocks;0.5;-0.5;4;0;3;2550;0.372208437;11.2;7626.7;1468.9;653.33;2400;2613.33;1520;373.3333333;53.33;13.33;0;0;0;0;0;5013.33;1946.663333;13.33;0;0.63;0.71;30.3;0.087065772;39;0.031375648
MoS_-1.5_18;2018;4;MoS;kelps;-1.5;1.5;4;1;3;2550;1.538461538;11.2;494.7;875.7;46.67;74.67;112;84;46.67;74.67;9.33;18.67;9.33;0;0;18.67;186.67;205.34;37.33;28;0.91;0.86;84.4;0.43;23;0.171078917
