"Year","Station","Taxa","Value","Type"
1993,"St4","Ciliatocardium_ciliatum",10,"N"
1993,"St6","Ciliatocardium_ciliatum",10,"N"
1993,"St8","Ciliatocardium_ciliatum",10,"N"
1994,"St3","Ciliatocardium_ciliatum",10,"N"
1998,"St3","Ciliatocardium_ciliatum",20,"N"
2000,"St3","Ciliatocardium_ciliatum",10,"N"
2000,"St11","Ciliatocardium_ciliatum",10,"N"
2004,"St4","Ciliatocardium_ciliatum",10,"N"
2005,"St7","Ciliatocardium_ciliatum",10,"N"
2006,"St2","Ciliatocardium_ciliatum",10,"N"
2007,"St3","Ciliatocardium_ciliatum",10,"N"
1989,"St6","Elliptica_elliptica",10,"N"
1989,"St7","Elliptica_elliptica",10,"N"
1990,"St4","Elliptica_elliptica",10,"N"
1992,"St11","Elliptica_elliptica",10,"N"
1991,"St13","Hiatella_arctica",20,"N"
1994,"St14","Hiatella_arctica",10,"N"
1995,"St6","Hiatella_arctica",10,"N"
1995,"St13","Hiatella_arctica",10,"N"
1999,"St17","Hiatella_arctica",10,"N"
2001,"St8","Hiatella_arctica",10,"N"
2002,"St6","Hiatella_arctica",10,"N"
2002,"St13","Hiatella_arctica",10,"N"
2003,"St3","Hiatella_arctica",10,"N"
2003,"St13","Hiatella_arctica",10,"N"
2003,"St14","Hiatella_arctica",10,"N"
2004,"St8","Hiatella_arctica",10,"N"
2004,"St15","Hiatella_arctica",20,"N"
2004,"St17","Hiatella_arctica",10,"N"
2004,"St18","Hiatella_arctica",10,"N"
2005,"St3","Hiatella_arctica",10,"N"
2006,"St15","Hiatella_arctica",26.88,"N"
2006,"St17","Hiatella_arctica",10,"N"
2007,"St3","Hiatella_arctica",10,"N"
2007,"St17","Hiatella_arctica",33.53741497,"N"
2003,"St4","Leionucula_belotii",10,"N"
2005,"St3","Leionucula_belotii",10,"N"
2005,"St4","Leionucula_belotii",10,"N"
1987,"St1","Macoma_balthica",50,"N"
1987,"St5","Macoma_balthica",40,"N"
1987,"St9","Macoma_balthica",40,"N"
1987,"St11","Macoma_balthica",90,"N"
1987,"St12","Macoma_balthica",120,"N"
1987,"St13","Macoma_balthica",80,"N"
1987,"St14","Macoma_balthica",30,"N"
1987,"St15","Macoma_balthica",30,"N"
1987,"St16","Macoma_balthica",20,"N"
1987,"St17","Macoma_balthica",10,"N"
1987,"St18","Macoma_balthica",10,"N"
1987,"St19","Macoma_balthica",30,"N"
1987,"St20","Macoma_balthica",40,"N"
1988,"St1","Macoma_balthica",30,"N"
1988,"St5","Macoma_balthica",20,"N"
1988,"St8","Macoma_balthica",10,"N"
1988,"St9","Macoma_balthica",60,"N"
1988,"St10","Macoma_balthica",10,"N"
1988,"St14","Macoma_balthica",50,"N"
1988,"St15","Macoma_balthica",20,"N"
1988,"St16","Macoma_balthica",40,"N"
1988,"St17","Macoma_balthica",50,"N"
1988,"St18","Macoma_balthica",10,"N"
1988,"St19","Macoma_balthica",80,"N"
1988,"St20","Macoma_balthica",30,"N"
1989,"St5","Macoma_balthica",40,"N"
1989,"St7","Macoma_balthica",20,"N"
1989,"St9","Macoma_balthica",20,"N"
1989,"St12","Macoma_balthica",60,"N"
1989,"St13","Macoma_balthica",20,"N"
1989,"St16","Macoma_balthica",10,"N"
1989,"St18","Macoma_balthica",10,"N"
1989,"St19","Macoma_balthica",10,"N"
1989,"St20","Macoma_balthica",60,"N"
1990,"St5","Macoma_balthica",10,"N"
1990,"St9","Macoma_balthica",10,"N"
1990,"St12","Macoma_balthica",60,"N"
1990,"St14","Macoma_balthica",40,"N"
1990,"St16","Macoma_balthica",50,"N"
1990,"St17","Macoma_balthica",10,"N"
1990,"St18","Macoma_balthica",20,"N"
1990,"St19","Macoma_balthica",70,"N"
1990,"St20","Macoma_balthica",40,"N"
1991,"St1","Macoma_balthica",110,"N"
1991,"St4","Macoma_balthica",20,"N"
1991,"St5","Macoma_balthica",10,"N"
1991,"St8","Macoma_balthica",30,"N"
1991,"St9","Macoma_balthica",50,"N"
1991,"St12","Macoma_balthica",190,"N"
1991,"St13","Macoma_balthica",30,"N"
1991,"St14","Macoma_balthica",10,"N"
1991,"St15","Macoma_balthica",40,"N"
1991,"St16","Macoma_balthica",10,"N"
1991,"St17","Macoma_balthica",40,"N"
1991,"St18","Macoma_balthica",70,"N"
1991,"St19","Macoma_balthica",40,"N"
1991,"St20","Macoma_balthica",40,"N"
1992,"St5","Macoma_balthica",30,"N"
1992,"St12","Macoma_balthica",50,"N"
1992,"St13","Macoma_balthica",50,"N"
1992,"St15","Macoma_balthica",10,"N"
1992,"St16","Macoma_balthica",20,"N"
1992,"St18","Macoma_balthica",10,"N"
1992,"St19","Macoma_balthica",110,"N"
1992,"St20","Macoma_balthica",10,"N"
1993,"St5","Macoma_balthica",50,"N"
1993,"St12","Macoma_balthica",20,"N"
1993,"St15","Macoma_balthica",10,"N"
1993,"St16","Macoma_balthica",20,"N"
1993,"St19","Macoma_balthica",110,"N"
1993,"St20","Macoma_balthica",30,"N"
1994,"St1","Macoma_balthica",10,"N"
1994,"St5","Macoma_balthica",270,"N"
1994,"St9","Macoma_balthica",50,"N"
1994,"St12","Macoma_balthica",320,"N"
1994,"St13","Macoma_balthica",130,"N"
1994,"St14","Macoma_balthica",20,"N"
1994,"St15","Macoma_balthica",100,"N"
1994,"St16","Macoma_balthica",100,"N"
1994,"St18","Macoma_balthica",120,"N"
1994,"St19","Macoma_balthica",140,"N"
1994,"St20","Macoma_balthica",190,"N"
1995,"St1","Macoma_balthica",870,"N"
1995,"St5","Macoma_balthica",250,"N"
1995,"St6","Macoma_balthica",10,"N"
1995,"St9","Macoma_balthica",50,"N"
1995,"St12","Macoma_balthica",240,"N"
1995,"St13","Macoma_balthica",210,"N"
1995,"St14","Macoma_balthica",80,"N"
1995,"St15","Macoma_balthica",660,"N"
1995,"St16","Macoma_balthica",280,"N"
1995,"St17","Macoma_balthica",170,"N"
1995,"St18","Macoma_balthica",530,"N"
1995,"St19","Macoma_balthica",230,"N"
1995,"St20","Macoma_balthica",540,"N"
1996,"St1","Macoma_balthica",270,"N"
1996,"St4","Macoma_balthica",10,"N"
1996,"St5","Macoma_balthica",470,"N"
1996,"St8","Macoma_balthica",10,"N"
1996,"St9","Macoma_balthica",560,"N"
1996,"St12","Macoma_balthica",720,"N"
1996,"St13","Macoma_balthica",1300,"N"
1996,"St14","Macoma_balthica",20,"N"
1996,"St15","Macoma_balthica",190,"N"
1996,"St16","Macoma_balthica",840,"N"
1996,"St17","Macoma_balthica",370,"N"
1996,"St18","Macoma_balthica",610,"N"
1996,"St19","Macoma_balthica",220,"N"
1996,"St20","Macoma_balthica",460,"N"
1997,"St1","Macoma_balthica",140,"N"
1997,"St9","Macoma_balthica",350,"N"
1997,"St12","Macoma_balthica",610,"N"
1997,"St13","Macoma_balthica",110,"N"
1997,"St14","Macoma_balthica",440,"N"
1997,"St15","Macoma_balthica",740,"N"
1997,"St16","Macoma_balthica",170,"N"
1997,"St17","Macoma_balthica",230,"N"
1997,"St18","Macoma_balthica",230,"N"
1998,"St1","Macoma_balthica",830,"N"
1998,"St5","Macoma_balthica",1060,"N"
1998,"St9","Macoma_balthica",460,"N"
1998,"St12","Macoma_balthica",690,"N"
1998,"St13","Macoma_balthica",1360,"N"
1998,"St14","Macoma_balthica",320,"N"
1998,"St15","Macoma_balthica",1180,"N"
1998,"St16","Macoma_balthica",770,"N"
1998,"St17","Macoma_balthica",680,"N"
1998,"St18","Macoma_balthica",790,"N"
1998,"St19","Macoma_balthica",1080,"N"
1998,"St20","Macoma_balthica",1060,"N"
1999,"St1","Macoma_balthica",2610,"N"
1999,"St4","Macoma_balthica",50,"N"
1999,"St5","Macoma_balthica",3770,"N"
1999,"St6","Macoma_balthica",10,"N"
1999,"St9","Macoma_balthica",1860,"N"
1999,"St10","Macoma_balthica",60,"N"
1999,"St11","Macoma_balthica",50,"N"
1999,"St12","Macoma_balthica",1150,"N"
1999,"St13","Macoma_balthica",3620,"N"
1999,"St14","Macoma_balthica",1200,"N"
1999,"St15","Macoma_balthica",1430,"N"
1999,"St16","Macoma_balthica",490,"N"
1999,"St17","Macoma_balthica",3480,"N"
1999,"St18","Macoma_balthica",10890,"N"
1999,"St19","Macoma_balthica",830,"N"
1999,"St20","Macoma_balthica",3370,"N"
2000,"St1","Macoma_balthica",3010,"N"
2000,"St4","Macoma_balthica",10,"N"
2000,"St5","Macoma_balthica",1310,"N"
2000,"St6","Macoma_balthica",20,"N"
2000,"St9","Macoma_balthica",1500,"N"
2000,"St10","Macoma_balthica",20,"N"
2000,"St12","Macoma_balthica",980,"N"
2000,"St13","Macoma_balthica",9730,"N"
2000,"St14","Macoma_balthica",4580,"N"
2000,"St15","Macoma_balthica",3040,"N"
2000,"St16","Macoma_balthica",4740,"N"
2000,"St17","Macoma_balthica",6070,"N"
2000,"St18","Macoma_balthica",1260,"N"
2000,"St19","Macoma_balthica",740,"N"
2000,"St20","Macoma_balthica",1020,"N"
2001,"St1","Macoma_balthica",2920,"N"
2001,"St5","Macoma_balthica",1850,"N"
2001,"St6","Macoma_balthica",20,"N"
2001,"St9","Macoma_balthica",1000,"N"
2001,"St10","Macoma_balthica",220,"N"
2001,"St12","Macoma_balthica",1240,"N"
2001,"St13","Macoma_balthica",4660,"N"
2001,"St14","Macoma_balthica",4270,"N"
2001,"St15","Macoma_balthica",2660,"N"
2001,"St16","Macoma_balthica",8170,"N"
2001,"St17","Macoma_balthica",9570,"N"
2001,"St18","Macoma_balthica",1580,"N"
2001,"St19","Macoma_balthica",580,"N"
2001,"St20","Macoma_balthica",1650,"N"
2002,"St1","Macoma_balthica",1390,"N"
2002,"St5","Macoma_balthica",740,"N"
2002,"St6","Macoma_balthica",80,"N"
2002,"St7","Macoma_balthica",10,"N"
2002,"St8","Macoma_balthica",20,"N"
2002,"St9","Macoma_balthica",3380,"N"
2002,"St10","Macoma_balthica",110,"N"
2002,"St12","Macoma_balthica",740,"N"
2002,"St13","Macoma_balthica",2030,"N"
2002,"St14","Macoma_balthica",3430,"N"
2002,"St15","Macoma_balthica",1620,"N"
2002,"St16","Macoma_balthica",4700,"N"
2002,"St17","Macoma_balthica",6030,"N"
2002,"St18","Macoma_balthica",1520,"N"
2002,"St19","Macoma_balthica",980,"N"
2002,"St20","Macoma_balthica",920,"N"
2003,"St1","Macoma_balthica",810,"N"
2003,"St5","Macoma_balthica",550,"N"
2003,"St9","Macoma_balthica",2310,"N"
2003,"St10","Macoma_balthica",50,"N"
2003,"St11","Macoma_balthica",10,"N"
2003,"St12","Macoma_balthica",1510,"N"
2003,"St13","Macoma_balthica",2930,"N"
2003,"St14","Macoma_balthica",1010,"N"
2003,"St15","Macoma_balthica",1070,"N"
2003,"St16","Macoma_balthica",3070,"N"
2003,"St17","Macoma_balthica",3960,"N"
2003,"St18","Macoma_balthica",910,"N"
2003,"St19","Macoma_balthica",890,"N"
2003,"St20","Macoma_balthica",1240,"N"
2004,"St1","Macoma_balthica",500,"N"
2004,"St2","Macoma_balthica",10,"N"
2004,"St5","Macoma_balthica",1280,"N"
2004,"St6","Macoma_balthica",10,"N"
2004,"St9","Macoma_balthica",130,"N"
2004,"St10","Macoma_balthica",100,"N"
2004,"St12","Macoma_balthica",1110,"N"
2004,"St13","Macoma_balthica",440,"N"
2004,"St14","Macoma_balthica",4050,"N"
2004,"St15","Macoma_balthica",1060,"N"
2004,"St16","Macoma_balthica",2290,"N"
2004,"St17","Macoma_balthica",13060,"N"
2004,"St18","Macoma_balthica",1730,"N"
2004,"St19","Macoma_balthica",390,"N"
2004,"St20","Macoma_balthica",500,"N"
2005,"St6","Macoma_balthica",10,"N"
2005,"St8","Macoma_balthica",70,"N"
2005,"St10","Macoma_balthica",210,"N"
2005,"St11","Macoma_balthica",10,"N"
2005,"St12","Macoma_balthica",610,"N"
2005,"St13","Macoma_balthica",940,"N"
2005,"St14","Macoma_balthica",2610,"N"
2005,"St15","Macoma_balthica",460,"N"
2005,"St17","Macoma_balthica",3330,"N"
2006,"St1","Macoma_balthica",558.48,"N"
2006,"St4","Macoma_balthica",60,"N"
2006,"St5","Macoma_balthica",290,"N"
2006,"St6","Macoma_balthica",20,"N"
2006,"St8","Macoma_balthica",10,"N"
2006,"St9","Macoma_balthica",127.5,"N"
2006,"St10","Macoma_balthica",140,"N"
2006,"St12","Macoma_balthica",1525.44,"N"
2006,"St13","Macoma_balthica",1520.9,"N"
2006,"St14","Macoma_balthica",940,"N"
2006,"St15","Macoma_balthica",1397.76,"N"
2006,"St16","Macoma_balthica",971.3333333,"N"
2006,"St17","Macoma_balthica",2400,"N"
2006,"St18","Macoma_balthica",1590,"N"
2006,"St19","Macoma_balthica",256.9210526,"N"
2006,"St20","Macoma_balthica",436,"N"
2007,"St4","Macoma_balthica",10,"N"
2007,"St6","Macoma_balthica",293.2727273,"N"
2007,"St7","Macoma_balthica",10,"N"
2007,"St9","Macoma_balthica",1111.450777,"N"
2007,"St10","Macoma_balthica",450,"N"
2007,"St11","Macoma_balthica",10,"N"
2007,"St12","Macoma_balthica",620,"N"
2007,"St13","Macoma_balthica",500,"N"
2007,"St14","Macoma_balthica",1189.157895,"N"
2007,"St15","Macoma_balthica",2080.542265,"N"
2007,"St16","Macoma_balthica",1030.21978,"N"
2007,"St17","Macoma_balthica",813.0612245,"N"
2007,"St18","Macoma_balthica",2265.549455,"N"
1987,"St2","Macoma_calcarea",10,"N"
1987,"St3","Macoma_calcarea",20,"N"
1987,"St4","Macoma_calcarea",60,"N"
1987,"St6","Macoma_calcarea",50,"N"
1987,"St7","Macoma_calcarea",50,"N"
1987,"St10","Macoma_calcarea",40,"N"
1988,"St2","Macoma_calcarea",20,"N"
1988,"St3","Macoma_calcarea",100,"N"
1988,"St4","Macoma_calcarea",50,"N"
1988,"St6","Macoma_calcarea",20,"N"
1988,"St7","Macoma_calcarea",70,"N"
1988,"St8","Macoma_calcarea",30,"N"
1988,"St10","Macoma_calcarea",20,"N"
1988,"St11","Macoma_calcarea",90,"N"
1989,"St1","Macoma_calcarea",40,"N"
1989,"St2","Macoma_calcarea",10,"N"
1989,"St3","Macoma_calcarea",30,"N"
1989,"St6","Macoma_calcarea",20,"N"
1989,"St7","Macoma_calcarea",20,"N"
1989,"St8","Macoma_calcarea",10,"N"
1989,"St10","Macoma_calcarea",40,"N"
1989,"St11","Macoma_calcarea",20,"N"
1989,"St13","Macoma_calcarea",10,"N"
1989,"St15","Macoma_calcarea",10,"N"
1990,"St1","Macoma_calcarea",10,"N"
1990,"St2","Macoma_calcarea",20,"N"
1990,"St4","Macoma_calcarea",10,"N"
1990,"St13","Macoma_calcarea",10,"N"
1990,"St18","Macoma_calcarea",20,"N"
1991,"St2","Macoma_calcarea",10,"N"
1991,"St3","Macoma_calcarea",10,"N"
1991,"St4","Macoma_calcarea",10,"N"
1991,"St5","Macoma_calcarea",30,"N"
1991,"St14","Macoma_calcarea",20,"N"
1991,"St20","Macoma_calcarea",10,"N"
1992,"St1","Macoma_calcarea",40,"N"
1992,"St2","Macoma_calcarea",20,"N"
1992,"St3","Macoma_calcarea",20,"N"
1992,"St5","Macoma_calcarea",90,"N"
1992,"St6","Macoma_calcarea",580,"N"
1992,"St8","Macoma_calcarea",140,"N"
1992,"St9","Macoma_calcarea",110,"N"
1992,"St10","Macoma_calcarea",430,"N"
1992,"St13","Macoma_calcarea",2760,"N"
1992,"St14","Macoma_calcarea",1210,"N"
1992,"St15","Macoma_calcarea",110,"N"
1992,"St16","Macoma_calcarea",470,"N"
1992,"St17","Macoma_calcarea",630,"N"
1992,"St18","Macoma_calcarea",240,"N"
1992,"St19","Macoma_calcarea",50,"N"
1992,"St20","Macoma_calcarea",280,"N"
1993,"St2","Macoma_calcarea",190,"N"
1993,"St3","Macoma_calcarea",290,"N"
1993,"St4","Macoma_calcarea",340,"N"
1993,"St6","Macoma_calcarea",450,"N"
1993,"St7","Macoma_calcarea",440,"N"
1993,"St8","Macoma_calcarea",300,"N"
1993,"St9","Macoma_calcarea",10,"N"
1993,"St10","Macoma_calcarea",280,"N"
1993,"St11","Macoma_calcarea",20,"N"
1993,"St12","Macoma_calcarea",20,"N"
1993,"St13","Macoma_calcarea",370,"N"
1993,"St14","Macoma_calcarea",430,"N"
1993,"St15","Macoma_calcarea",20,"N"
1993,"St16","Macoma_calcarea",60,"N"
1993,"St17","Macoma_calcarea",70,"N"
1993,"St18","Macoma_calcarea",140,"N"
1993,"St19","Macoma_calcarea",30,"N"
1993,"St20","Macoma_calcarea",10,"N"
1994,"St1","Macoma_calcarea",190,"N"
1994,"St2","Macoma_calcarea",250,"N"
1994,"St3","Macoma_calcarea",60,"N"
1994,"St5","Macoma_calcarea",30,"N"
1994,"St6","Macoma_calcarea",60,"N"
1994,"St7","Macoma_calcarea",110,"N"
1994,"St8","Macoma_calcarea",40,"N"
1994,"St9","Macoma_calcarea",60,"N"
1994,"St10","Macoma_calcarea",120,"N"
1994,"St11","Macoma_calcarea",210,"N"
1994,"St13","Macoma_calcarea",40,"N"
1994,"St17","Macoma_calcarea",60,"N"
1994,"St18","Macoma_calcarea",20,"N"
1994,"St19","Macoma_calcarea",60,"N"
1994,"St20","Macoma_calcarea",10,"N"
1995,"St1","Macoma_calcarea",20,"N"
1995,"St2","Macoma_calcarea",70,"N"
1995,"St3","Macoma_calcarea",40,"N"
1995,"St4","Macoma_calcarea",40,"N"
1995,"St5","Macoma_calcarea",20,"N"
1995,"St6","Macoma_calcarea",50,"N"
1995,"St8","Macoma_calcarea",60,"N"
1995,"St9","Macoma_calcarea",30,"N"
1995,"St10","Macoma_calcarea",40,"N"
1995,"St11","Macoma_calcarea",20,"N"
1995,"St14","Macoma_calcarea",40,"N"
1995,"St17","Macoma_calcarea",10,"N"
1995,"St18","Macoma_calcarea",20,"N"
1996,"St2","Macoma_calcarea",30,"N"
1996,"St3","Macoma_calcarea",20,"N"
1996,"St6","Macoma_calcarea",20,"N"
1996,"St8","Macoma_calcarea",10,"N"
1996,"St11","Macoma_calcarea",10,"N"
1996,"St13","Macoma_calcarea",20,"N"
1996,"St14","Macoma_calcarea",20,"N"
1996,"St16","Macoma_calcarea",20,"N"
1996,"St17","Macoma_calcarea",30,"N"
1996,"St18","Macoma_calcarea",40,"N"
1996,"St20","Macoma_calcarea",10,"N"
1997,"St1","Macoma_calcarea",30,"N"
1997,"St2","Macoma_calcarea",40,"N"
1997,"St4","Macoma_calcarea",60,"N"
1997,"St9","Macoma_calcarea",20,"N"
1997,"St12","Macoma_calcarea",20,"N"
1997,"St13","Macoma_calcarea",30,"N"
1997,"St14","Macoma_calcarea",20,"N"
1997,"St15","Macoma_calcarea",10,"N"
1997,"St16","Macoma_calcarea",10,"N"
1997,"St17","Macoma_calcarea",30,"N"
1998,"St1","Macoma_calcarea",20,"N"
1998,"St2","Macoma_calcarea",60,"N"
1998,"St3","Macoma_calcarea",50,"N"
1998,"St4","Macoma_calcarea",10,"N"
1998,"St5","Macoma_calcarea",20,"N"
1998,"St6","Macoma_calcarea",30,"N"
1998,"St7","Macoma_calcarea",10,"N"
1998,"St8","Macoma_calcarea",80,"N"
1998,"St9","Macoma_calcarea",10,"N"
1998,"St10","Macoma_calcarea",20,"N"
1998,"St11","Macoma_calcarea",70,"N"
1998,"St13","Macoma_calcarea",30,"N"
1998,"St14","Macoma_calcarea",140,"N"
1998,"St18","Macoma_calcarea",10,"N"
1999,"St1","Macoma_calcarea",40,"N"
1999,"St4","Macoma_calcarea",20,"N"
1999,"St7","Macoma_calcarea",20,"N"
1999,"St8","Macoma_calcarea",50,"N"
1999,"St10","Macoma_calcarea",10,"N"
1999,"St11","Macoma_calcarea",10,"N"
1999,"St13","Macoma_calcarea",10,"N"
1999,"St14","Macoma_calcarea",10,"N"
1999,"St15","Macoma_calcarea",70,"N"
1999,"St18","Macoma_calcarea",10,"N"
2000,"St2","Macoma_calcarea",90,"N"
2000,"St3","Macoma_calcarea",410,"N"
2000,"St4","Macoma_calcarea",420,"N"
2000,"St6","Macoma_calcarea",670,"N"
2000,"St7","Macoma_calcarea",280,"N"
2000,"St8","Macoma_calcarea",850,"N"
2000,"St9","Macoma_calcarea",20,"N"
2000,"St11","Macoma_calcarea",220,"N"
2000,"St13","Macoma_calcarea",10,"N"
2000,"St14","Macoma_calcarea",40,"N"
2000,"St15","Macoma_calcarea",10,"N"
2000,"St16","Macoma_calcarea",10,"N"
2001,"St2","Macoma_calcarea",380,"N"
2001,"St3","Macoma_calcarea",540,"N"
2001,"St4","Macoma_calcarea",350,"N"
2001,"St6","Macoma_calcarea",590,"N"
2001,"St7","Macoma_calcarea",250,"N"
2001,"St8","Macoma_calcarea",600,"N"
2001,"St9","Macoma_calcarea",10,"N"
2001,"St10","Macoma_calcarea",800,"N"
2001,"St11","Macoma_calcarea",460,"N"
2001,"St13","Macoma_calcarea",10,"N"
2001,"St14","Macoma_calcarea",80,"N"
2001,"St15","Macoma_calcarea",10,"N"
2001,"St16","Macoma_calcarea",30,"N"
2001,"St17","Macoma_calcarea",50,"N"
2001,"St18","Macoma_calcarea",20,"N"
2001,"St19","Macoma_calcarea",10,"N"
2002,"St2","Macoma_calcarea",430,"N"
2002,"St3","Macoma_calcarea",230,"N"
2002,"St4","Macoma_calcarea",260,"N"
2002,"St5","Macoma_calcarea",70,"N"
2002,"St6","Macoma_calcarea",790,"N"
2002,"St7","Macoma_calcarea",370,"N"
2002,"St8","Macoma_calcarea",710,"N"
2002,"St9","Macoma_calcarea",50,"N"
2002,"St10","Macoma_calcarea",640,"N"
2002,"St11","Macoma_calcarea",420,"N"
2002,"St13","Macoma_calcarea",200,"N"
2002,"St14","Macoma_calcarea",20,"N"
2002,"St16","Macoma_calcarea",30,"N"
2002,"St17","Macoma_calcarea",70,"N"
2002,"St18","Macoma_calcarea",10,"N"
2003,"St2","Macoma_calcarea",240,"N"
2003,"St3","Macoma_calcarea",220,"N"
2003,"St4","Macoma_calcarea",120,"N"
2003,"St6","Macoma_calcarea",410,"N"
2003,"St7","Macoma_calcarea",80,"N"
2003,"St8","Macoma_calcarea",360,"N"
2003,"St10","Macoma_calcarea",720,"N"
2003,"St11","Macoma_calcarea",350,"N"
2003,"St12","Macoma_calcarea",10,"N"
2003,"St13","Macoma_calcarea",30,"N"
2003,"St14","Macoma_calcarea",280,"N"
2003,"St16","Macoma_calcarea",10,"N"
2004,"St1","Macoma_calcarea",100,"N"
2004,"St2","Macoma_calcarea",50,"N"
2004,"St3","Macoma_calcarea",110,"N"
2004,"St4","Macoma_calcarea",160,"N"
2004,"St5","Macoma_calcarea",10,"N"
2004,"St6","Macoma_calcarea",350,"N"
2004,"St7","Macoma_calcarea",230,"N"
2004,"St8","Macoma_calcarea",350,"N"
2004,"St10","Macoma_calcarea",430,"N"
2004,"St11","Macoma_calcarea",160,"N"
2004,"St14","Macoma_calcarea",150,"N"
2004,"St15","Macoma_calcarea",140,"N"
2004,"St16","Macoma_calcarea",40,"N"
2004,"St17","Macoma_calcarea",30,"N"
2005,"St3","Macoma_calcarea",100,"N"
2005,"St4","Macoma_calcarea",840,"N"
2005,"St6","Macoma_calcarea",110,"N"
2005,"St7","Macoma_calcarea",210,"N"
2005,"St8","Macoma_calcarea",1400,"N"
2005,"St10","Macoma_calcarea",780,"N"
2005,"St11","Macoma_calcarea",110,"N"
2005,"St14","Macoma_calcarea",20,"N"
2005,"St17","Macoma_calcarea",10,"N"
2006,"St2","Macoma_calcarea",260,"N"
2006,"St3","Macoma_calcarea",220,"N"
2006,"St4","Macoma_calcarea",410,"N"
2006,"St6","Macoma_calcarea",280,"N"
2006,"St7","Macoma_calcarea",60,"N"
2006,"St8","Macoma_calcarea",20,"N"
2006,"St10","Macoma_calcarea",220,"N"
2006,"St11","Macoma_calcarea",250,"N"
2006,"St15","Macoma_calcarea",53.76,"N"
2006,"St18","Macoma_calcarea",10,"N"
2007,"St2","Macoma_calcarea",210,"N"
2007,"St3","Macoma_calcarea",320,"N"
2007,"St4","Macoma_calcarea",250,"N"
2007,"St6","Macoma_calcarea",373.2727273,"N"
2007,"St7","Macoma_calcarea",359.3333333,"N"
2007,"St8","Macoma_calcarea",161.8654434,"N"
2007,"St10","Macoma_calcarea",310,"N"
2007,"St11","Macoma_calcarea",290,"N"
2007,"St13","Macoma_calcarea",220,"N"
2007,"St17","Macoma_calcarea",10,"N"
2007,"St18","Macoma_calcarea",10,"N"
1991,"St4","Macoma_sp.",10,"N"
1991,"St9","Macoma_sp.",10,"N"
1991,"St13","Macoma_sp.",320,"N"
1991,"St14","Macoma_sp.",110,"N"
1991,"St15","Macoma_sp.",150,"N"
1992,"St4","Macoma_sp.",40,"N"
1992,"St7","Macoma_sp.",70,"N"
1992,"St11","Macoma_sp.",80,"N"
1992,"St19","Macoma_sp.",10,"N"
1993,"St12","Macoma_sp.",40,"N"
1993,"St15","Macoma_sp.",10,"N"
