"Station";"Lat";"Long";"Depth";"Transparency";"Surf_Salinity";"Bot_Salinity";"Surf_Turbidity";"Bot_Turbidity";"Surf_Susp";"Interm_Susp";"Bot_Susp";"Chla_surface";"Chla_intermed";"Chla_bottom";"Org";"Fine_particles";"Coarce_particles";"Bot_Color";"Bot_O2";"Bot_pH";"Bot_Amon_N";"Bot_Nitrit_N";"Bot_Nitrat_N";"Bot_Total_N";"Bot_Mineral_P";"Bot_Total_P";"Bot_Si";"Bot_Organic_N";"Bot_Organic_P";"Int_Color";"Int_O2";"Int_pH";"Int_Amon_N";"Int_Nitrit_N";"Int_Nitrat_N";"Int_Total_N";"Int_Mineral_P";"Int_Total_P";"Int_Si";"Int_Organic_N";"Int_Organic_P";"Surf_Color";"Surf_O2";"Surf_pH";"Surf_Amon_N";"Surf_Nitrit_N";"Surf_Nitrat_N";"Surf_Total_N";"Surf_Mineral_P";"Surf_Total_P";"Surf_Si";"Surf_Organic_N";"Surf_Organic_P"
"O108";71.0075190003057;73.7909959999148;5;0;0.049;0.049;124.5828;124.5828;326;NA;NA;6;NA;NA;0.25;90.4;9.606;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;216.82;7.04;7.34;101.18;6.32;25.49;178.18;42.6657;150;475.91;45.19;107.33
"O109";71.0032002012976;73.7896248311921;12;0;0.048;0.046;124.5828;124.5733;284;NA;258;5.94;NA;7.51;0.11;76.9;23.106;220.45;6.77;7.305;142.18;8.87;32.22;230.91;44.3157;164.29;827.73;47.64;119.97;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;216.82;7.04;7.34;119;5.74;15.27;301.82;48.5562;145.71;717.73;161.81;97.15
"O11";72.5516829130236;74.3159186044979;15.8;1.4;10.701;31.244;64.5923;93.9677;32;95.0000000000001;31;4.61;0.91;1.22;0.28;42.4;57.605;11.75;12.58;7.775;0;1.42;40.46;74.09;6.3657;48.57;747.73;32.21;42.2;30.38;13.12;7.736;15.73;0.93;27.91;73.18;4.7157;37.86;335.91;28.61;33.14;58.56;13.23;7.725;0;0.64;23.85;78.18;3.7719;30.71;207.27;53.69;26.94
"O110";70.9956187312912;73.8097486666491;10;0;0.041;0.04;124.5866;124.5866;76;88;126;NA;NA;NA;0.13;90.5;9.506;259.09;6.97;7.32;68.09;10.83;41.85;251.36;44.3157;170.71;977.73;130.59;126.39;220.57;7.12;7.33;125.18;7.89;33.88;247.27;47.6157;145.71;804.09;80.32;98.09;206.82;7.23;7.345;108.36;6.13;27.64;231.82;43.1343;137.86;781.36;89.69;94.73
"O111";70.9886234417251;73.8290943454429;8;0;0.048;0.049;124.5733;124.5618;120;NA;94.0000000000002;5.97;NA;5.94;0.25;80;20.005;281.36;6.92;7.35;159.64;10.15;42.44;343.18;43.3719;160.71;750;130.95;117.34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;166.36;7.13;7.204;271;5.05;31.04;394.09;43.6062;133.57;719.09;86.9999999999999;89.96
"O112";70.982716967437;73.8354893269095;8;0;0.047;0.049;124.5733;124.5637;58;NA;94.0000000000002;7.54;NA;4.47;0.37;88.1;11.906;282.66;6.8;7.35;95.27;9.56;45.46;265;23.8062;117.86;840;114.71;94.05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;168.96;7.2;7.204;149.64;1.81;26.95;285.45;19.0938;90;698.18;107.05;70.91
"O12";72.5521375488588;74.4652525801833;15.6;1.4;10.692;31.235;64.6266;93.0911;33;66;47;1.37;1.06;2.14;0.2;94.3;5.706;12.71;12.71;7.852;0;1.13;39.45;59.09;5.8938;42.86;833.18;18.51;36.97;35.32;13.26;7.824;15.64;0.69;35.54;63.64;4.7157;36.43;423.18;11.77;31.71;60.53;13.41;7.809;0;0.74;25.06;50.45;3.5343;30.71;482.73;24.65;27.18
"O13";71.648941382955;73.3206497474867;10;0.6;0.969;1.42975;53.9957;77.8520625;75;NA;22;1.26;NA;3.31;0.15;87.6;12.406;55.91;10.98;7.418;37.82;0.15;29.71;85;17.2062;57.86;926.36;17.32;40.65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;64.09;11.28;7.5;15.64;0.25;22.43;64.09;9.6657;40.71;858.18;25.77;31.04
"O14";72.5068986607386;74.3205662863596;15.6;1.4;10.701;31.211;64.5923;91.6624;5.49999999999995;35;54;3.36;0.75;1.22;0.26;92.5;7.506;13.1;12.71;7.875;24;1.57;26.55;74.09;7.3062;64.29;517.27;21.97;56.98;32.15;13.24;7.836;33.91;1.13;25.97;80;5.6562;59.29;308.64;18.99;53.63;59.71;13.34;7.821;27.36;0.74;42.01;94.55;13.9062;49.29;263.64;24.44;35.38
"O15";72.6008282629359;74.3193152068486;15.8;1.4;10.727;31.217;64.619;96.5691;24.4999999999999;38;57;1.07;0.45;0.3;0.24;80.8;19.205;11.78;12.96;7.87;0;1.37;29.21;82.27;1.8843;52.86;477.27;51.69;50.98;30.65;13.31;7.841;12.82;0.88;27.96;65.91;3.3;44.29;329.09;24.25;40.99;58.45;13.37;7.819;0;0.59;29.63;54.09;4.2438;40.71;299.09;23.87;36.47
"O16";72.5353381836306;73.9481155287387;15.5;1.4;1.981;31.287;59.4391;90.0466;1.49999999999997;30;49;1.53;1.21;0.9;0.22;93.2;6.806;17.73;9.32;7.939;0;1.57;33.94;47.27;6.8343;57.14;993.18;11.76;50.31;50;9.43;7.832;0;1.13;25.68;52.27;12.0219;48.57;946.82;25.46;36.55;67.73;10.42;7.784;0;0.74;38.68;66.36;12.9657;37.14;900;26.94;24.17
"O17";72.5081934514626;74.066731276187;15;1.4;1.895;31.16;59.4945;91.29;8.00000000000009;28.5000000000001;56;NA;NA;NA;0.11;81;19.006;15.61;9.99;7.94;0;0.54;31.05;79.09;5.6562;50.71;810;47.5;45.05;45.78;10.25;7.822;2;0.25;22.29;67.27;4.7157;39.29;730.91;42.73;34.57;65.81;10.61;7.771;0;0;39.2;79.09;5.8938;34.29;501.82;39.89;28.4
"O18";72.480978250465;74.1849908165619;15.5;1.4;1.893;31.079;59.5747;117.7088;8.50000000000004;31;48;1.22;1.21;0.75;0.23;88;12.006;18.29;8.32;7.831;0;0.64;44.22;82.27;3.7719;52.86;985.46;37.41;49.09;52.03;9.12;7.784;4;0.15;23.18;90;5.1843;42.14;892.27;62.67;36.96;69.12;10.03;7.75;0;0;42.1;107.27;6.3657;40;744.09;65.17;33.63
"O19";72.4707760686877;73.7755417000831;12.5;1.2;7.709;29.649;61.5095;91.3702;25;22.5;40;3.39;1.99;1.22;0.15;80.7;19.306;16.82;8.63;7.917;0;1.13;41.62;88.18;7.3062;55;924.54;45.43;47.69;40;8.74;7.811;0;0.44;26.37;100.45;5.1843;48.57;844.09;73.64;43.39;54.55;9.41;7.806;0;0;40.94;115.45;6.3657;39.29;804.09;74.51;32.92
"O2";72.7045819402862;73.4237380740005;22;1.2;2.036;31.666;77.6374;76.2202;0.99999999999989;41;41;1.01;0.44;0.44;0.21;79.6;20.405;14.09;12.5;7.858;5.18;1.62;18.31;67.27;0;50.71;480.45;42.16;50.71;43.64;12.84;7.85;5.91;1.23;14.57;58.18;2.3562;36.43;438.64;36.47;34.07;69.55;13.19;7.77;4.36;0.64;11.82;53.64;1.8843;39.29;377.27;36.82;37.41
"O20";72.4437336318192;73.8939921267746;11;1.2;7.729;29.728;61.6261;94.2466;15.5;20;46.0000000000001;NA;NA;NA;0.34;89.1;10.906;18.1;8.69;7.914;0;1.13;39.52;82.27;24.2781;68.57;835.91;41.62;44.29;42.51;8.78;7.828;0;0.74;22.59;92.73;18.15;56.43;765.45;69.4;38.28;55.17;9.46;7.801;0;0.34;31.91;100.91;20.9781;39.29;720;68.66;18.31
"O21";72.4166206638183;74.0120895938746;11;1.2;7.752;29.72;61.6814;93.8493;20.5;15.5;55.9999999999999;5.25;2.91;1.07;0.22;78.3;21.705;14.59;8.5;7.879;0;0;30.43;51.36;8.7219;74.29;841.82;20.93;65.57;38.81;8.65;7.872;0;0;24.28;54.55;14.85;52.14;744.55;30.27;37.29;52.91;9.39;7.832;0;0;41.74;62.73;17.2062;35.71;691.36;20.99;18.5
"O22";72.3711318563435;73.4988268904882;11.5;1;6.061;26.241;60.3712;82.336;20.5000000000001;28.0000000000001;35;1.68;0.61;0.92;0.27;85.5;14.506;28.18;7.51;7.867;0;1.32;34.04;63.64;18.3843;65;962.73;28.28;46.62;47.27;8.05;7.857;0;0.64;24.65;68.64;11.55;49.29;715.45;43.35;37.74;53.64;8.2;7.826;0;0;40.36;81.36;8.7219;40;473.64;41;31.28
"O23";72.3442538276183;73.617037532415;11;1;6.063;26.682;60.4094;73.1795;26;19;40;NA;NA;NA;0.29;78.7;21.305;27.13;7.59;7.843;0;0.44;30.36;74.09;11.3157;62.14;1013.18;43.29;50.82;46.31;8.1;7.821;0;0.15;24.78;79.55;15.3219;50.71;784.09;54.62;35.39;52.67;8.27;7.819;0;0;41.74;88.18;17.9157;39.29;740.45;46.44;21.37
"O24";72.3173051555688;73.7349002111026;11;1;6.062;26.427;60.3406;78.1951;17.0000000000001;25;40;0.31;1.68;2;0.42;88.8;11.206;29.1;7.47;7.875;0;0.64;25.45;72.27;12.2562;80;873.18;46.18;67.74;46.38;8.06;7.857;0;0.25;26.56;73.18;15.5562;54.29;813.64;46.37;38.73;54.76;8.19;7.826;0;0;40.29;73.64;17.2062;40.71;800.91;33.35;23.5
"O25";72.282942782585;73.2754109884043;11.6;1.2;1.239;20.684;84.6852;90.5451;28.9999999999999;28;19;3.45;2.29;3.05;0.33;75.8;24.205;47.73;9.49;7.67;0;1.42;38.15;63.64;9.6657;62.86;885;24.07;53.19;108.64;10.3;7.629;0;1.23;27.47;47.73;12.4938;57.14;645.45;19.03;44.65;102.73;10.32;7.559;0;0.74;29.98;46.36;11.0781;49.29;471.36;15.64;38.21
"O26";72.2561977743752;73.3933779575449;12;1.2;1.237;21.735;84.691;124.1741;143;139;91;NA;NA;NA;0.28;86.7;13.305;40;9.61;7.676;0;1.32;42.16;64.09;12.9657;69.29;946.82;20.61;56.32;130.45;10.39;7.561;0;1.42;21.48;89.09;16.7343;57.86;780;66.19;41.13;110.91;10.45;7.629;0;0.83;25.18;80.45;20.0343;50;653.18;54.44;29.97
"O27";72.2293820655896;73.511001269064;11.5;1.2;1.231;20.684;84.1906;90.5451;59;64;23;2.67;2.68;3.45;0.21;79;21.005;41.03;9.45;7.665;0;1.96;42.61;58.18;11.0781;69.29;748.64;13.61;58.21;128.45;10.27;7.616;0;1.42;27.06;60;13.6719;56.43;466.82;31.52;42.76;108.91;10.3;7.549;0;1.03;24.84;71.82;14.6157;47.14;382.27;45.95;32.52
"O28";72.1926233720616;73.0558876226892;12.5;1.4;1.263;21.279;61.1524;95.406;65;69;57;1.08;3.81;11.56;0.15;84.5;15.506;45;9.64;7.577;37.45;1.23;46.16;141.82;7.7781;85.71;747.27;56.98;77.93;135.91;10.2;7.579;46.18;0.54;28.08;129.55;18.15;62.86;461.36;54.75;44.71;50;10.44;7.259;36.82;0;26.01;119.09;20.5062;53.57;378.18;56.26;33.06
"O29";72.1660093114438;73.173592183646;14.6;1.4;1.264;21.39;61.1409;106.9709;7.67;60.0000000000001;129;1.23;2.28;2.7;0.23;62;38.005;45.38;9.71;7.563;28.55;1.37;43.63;119.55;11.55;75.71;840.91;46;64.16;136.26;10.28;7.542;40.27;1.18;25.63;107.27;15.7938;65.71;784.55;40.19;49.92;51.04;10.61;7.221;26.64;0.44;25.21;90.91;18.6219;60.71;740.91;38.62;42.09
"O3";72.7261680595336;73.7162792611893;22;1.4;1.883;31.715;60.2088;65.744;60;22.5;31;1.07;0.15;0.25;0.36;83.9;16.106;3.18;11.47;7.863;8.36;2.65;21.63;49.09;0;55;630;16.45;55;10;11.48;7.868;12.27;2.01;16.03;42.27;2.3562;45;480.45;11.96;42.64;46.36;11.57;7.815;9.55;1.37;10.88;36.82;2.3562;37.14;375;15.02;34.78
"O30";72.1393245109186;73.2909574022571;12.3;1.4;1.263;21.194;61.0913;93.3394;61;62;117;0.61;0.38;7.7;0.32;89.7;10.306;43.94;9.78;7.558;0;1.32;26.58;45.45;10.8438;53.57;870;17.55;42.73;133.87;10.31;7.569;0;1.03;22.23;47.27;12.4938;46.43;804.55;24.01;33.94;49.09;10.51;7.272;0;0.44;30.28;51.36;14.3781;37.14;733.64;20.64;22.76
"O31";72.3432616514305;72.8975084958415;6;0.6;2.637;19.646;96.4698;124.4854;24.5000000000001;NA;118;3.04;NA;NA;0.16;81.4;18.605;173.18;7.53;7.64;22.45;1.11;45.99;102.27;3.3;50.71;873.18;32.72;47.41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;150.45;10.78;7.05;34.45;0.05;40.67;108.18;6.8343;36.43;785.45;33.01;29.6
"O32";72.3415358637732;74.2612625656355;12;1.4;3.645;28.101;61.1199;73.1222;25.5;24;34;3.7;0.91;1.07;0.21;87.6;12.405;24.55;10.71;7.933;0;0.88;44.41;120;18.15;63.57;963.18;74.71;45.42;44.55;11.69;7.919;0;0.59;29.41;99.55;14.3781;47.86;754.09;69.55;33.48;68.64;11.77;7.784;0;0;39.42;85.91;14.85;40;654.09;46.49;25.15
"O33";72.3361383600141;74.6168795621217;13;1;5.285;27.774;61.8533;67.3961;52;19;33;2.11;1.21;1.22;0.17;82.4;17.605;42.27;11.01;7.89;0;0.64;30.52;85.45;21.6843;66.43;920;54.29;44.75;39.09;11.02;7.862;0;0.25;23.95;77.27;14.6157;57.14;747.27;53.07;42.52;60;11.2;7.809;0;0;41.81;92.27;16.2657;47.86;446.36;50.46;31.59
"O34";72.1644999939066;73.8061251510736;13;0.5;1.533;26.356;96.5176;90.1898;4.49999999999992;19;28;1.52;2.53;1.37;0.19;88.5;11.506;60;9.56;7.787;0;2.06;41.71;123.64;24.75;97.14;979.09;79.87;72.39;103.18;9.56;7.656;0;1.32;25.49;99.55;19.0938;90.71;703.18;72.74;71.62;90.45;9.87;7.725;0;0.93;29.36;80.45;18.6219;80.71;534.55;50.16;62.09
"O35";72.1653343248511;73.9523029893319;13;0.5;1.533;26.361;89.2214;84.1504;13.4999999999999;65.9999999999999;30;1.43;1.52;0.3;0.11;78.9;21.106;56.91;9.43;7.787;0;2.3;26.69;91.82;25.9281;93.57;880.91;62.83;67.64;101.72;9.46;7.656;0;1.42;20.1;112.27;21.45;91.43;747.73;90.75;69.98;87.45;9.65;7.725;0;0.78;30.96;81.82;22.3938;80.71;655.45;50.08;58.32
"O36";72.1660598482393;74.098493829918;13;0.5;1.533;26.368;75.7255;79.5913;14.5000000000001;7.50000000000001;38;0.76;0.25;0.91;0.13;87;13.006;58.64;9.64;7.791;0;2.25;44.05;140;24.0438;94.29;816.82;93.7;70.25;102.67;9.7;7.662;7.36;1.57;21.33;115;20.9781;90.71;745.45;84.74;69.73;88.96;9.91;7.745;0;0.93;39.21;93.64;22.3938;79.29;665;53.5;56.9
"O37";72.2173660098347;73.9608594675773;13;0.5;1.533;26.384;72.8701;76.3539;13.5;20;36;1.78;1.79;0.91;0.1;87.9;12.106;59.01;9.47;7.776;0;1.96;29.42;65;26.8719;96.43;620.45;33.62;69.56;102.23;9.54;7.643;6.09;1.23;23.77;59.55;22.3938;90;344.55;28.46;67.61;89.01;9.81;7.721;0;0.74;42.09;61.82;24.2781;74.29;261.82;18.99;50.01
"O38";72.1205579229866;73.957730413716;13;0.5;1.533;26.372;72.8835;88.5033;12.5;19;24.4999999999999;2.03;1.52;1.06;0.25;67.3;32.705;60.42;9.48;7.765;33.55;1.27;44.45;142.27;8.25;95;740;63;86.75;103.29;9.5;7.718;28.45;0;22.75;126.36;9.1938;88.57;622.27;75.16;79.38;90.23;9.79;7.642;30.82;0;27.17;117.73;10.6062;76.43;475.45;59.74;65.82
"O39";72.3398930731416;74.9820934374295;10;1.9;6.134;26.827;61.8839;69.7473;10;NA;62;2.14;NA;1.06;0.14;85.3;14.705;22.27;10.83;7.904;23.91;0.64;25.08;70.91;6.8343;65.71;624.55;21.28;58.88;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49.09;11.36;7.732;0;0;42.46;74.09;3.7719;47.14;536.82;31.63;43.37
"O4";72.7473295567618;74.009522876783;17;1;2.527;31.678;70.2897;70.7309;48;30;76.9999999999999;1.02;0.15;0.3;0.32;80.1;19.905;13.18;12.07;7.867;8.27;2.21;22.93;65;3.3;44.29;378.64;31.59;40.99;29.55;12.54;7.888;9.36;1.27;19.31;78.64;2.8281;42.14;274.55;48.7;39.31;79.09;13.24;7.797;13.18;0.93;14.5;59.55;2.3562;40.71;214.55;30.94;38.35
"O40";72.0003672427614;72.6353944576255;9;0.6;0.895;15.806;75.6472;108.3365;18.5;NA;63.9999999999999;6.65;NA;3.83;0.26;55.1;44.905;46.82;7.57;7.853;35.38;0.54;32;129.09;14.6157;65.71;734.55;61.17;51.09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;104.55;9.89;7.503;13.45;0.34;31.04;93.64;12.9657;55;635.91;48.81;42.03
"O41";72.0016095187983;72.9252015044986;16;0.7;0.164;27.291;72.0775;112.5041;5;20.5;73;2.04;1.26;0.76;0.11;75.5;24.505;40;10.15;7.774;0;1.96;40.94;142.27;15.7938;82.86;665;99.37;67.07;47.27;10.36;7.619;35.64;1.62;30.92;126.36;20.2719;69.29;636.36;58.18;49.02;96.36;10.81;7.638;22.36;0;27.17;86.82;21.9219;63.57;445.91;37.29;41.65
"O42";72.0022627843704;73.215044405428;14;0.6;0.487;21.332;73.1967;74.3542;11.9999999999999;16;28;1.02;0.51;1.71;0.23;54.2;45.805;33.18;6.96;7.754;0;1.42;38.29;75.45;30.1719;82.86;687.27;35.74;52.69;78.18;7.24;7.734;23.09;1.03;32.23;74.09;26.4;65.71;493.18;17.74;39.31;109.09;8.83;7.641;22;0.39;20.91;74.09;22.3938;50.71;378.18;30.79;28.32
"O43";72.00153157603;73.5048834157483;9.4;0.5;0.472;15.065;69.3959;89.888;16;NA;14.0000000000001;2.55;NA;1.92;0.26;82;18.005;71.82;9.46;7.728;0;0;28.99;54.55;2.3562;77.14;802.73;25.56;74.78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;120;9.76;7.735;5.55;0;25.72;60.91;10.1343;51.43;735;29.64;41.3
"O44";72.0003692003054;73.7946966111388;11.5;0.9;1.878;24.771;65.127;79.0546;3.99999999999998;12.0000000000001;19;1.51;1.37;1.38;0.21;91;9.006;44.09;9.31;7.821;0;0.74;30.27;65;2.8281;80.71;990.91;33.99;77.88;56.36;10.67;7.812;9.82;0;21.3;70;6.8343;55;809.55;38.88;48.17;80.45;10.9;7.529;0;0;39.2;71.82;6.3657;49.29;690;32.62;42.92
"O45";72.0010840289;74.0844835302265;11.5;0.9;1.623;22.998;78.707;77.8036;2.99999999999995;8.00000000000009;22.5;2.92;1.52;0.9;0.13;79.5;20.506;33.18;10.58;7.748;0;0.83;30.84;70.91;3.5343;87.14;945.45;39.24;83.61;41.36;10.86;7.735;0;0;26.16;71.36;7.3062;62.14;853.64;45.2;54.83;61.82;10.87;7.415;0;0;39.2;78.18;6.1281;50.71;750.45;38.98;44.58
"O46";72.0022303409704;74.3743067435261;11;0.9;2.218;18.841;66.7257;114.7674;10.5000000000001;NA;19.4999999999999;3.69;NA;1.82;0.11;93.2;6.806;58.64;10.5;7.792;0;0.34;29.73;65.45;5.1843;87.14;930.9;35.38;81.96;85.91;10.8;7.81;0;0;24.71;55.45;4.4781;58.57;882.72;30.74;54.09;79.09;11.12;7.718;0;0;32.17;60.91;3.7719;51.43;784.55;28.74;47.66
"O47";71.4803390505507;71.8872898807154;7;0.5;0.288;1.111;76.3062;77.2612;16.5;NA;19;2.69;NA;3.07;0.34;81.7;18.305;125;8.61;7.59;24.73;0.54;50.98;85;11.0781;93.57;962.73;8.75;82.49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;134.09;8.8;7.51;0;0.25;39.17;82.73;7.7781;49.29;825.91;43.31;41.51
"O48";71.4709259923908;72.2058161361895;16;0.7;0.059;18.748;64.8864;118.0889;15;14.4999999999999;69.9999999999999;0.77;1.53;1.94;0.001;59.1;40.905;32.27;8.5;7.675;0;0.83;22.65;64.55;15.7938;97.86;949.1;41.07;82.07;100.45;8.77;7.58;0;0.54;41.34;71.82;16.9719;80.71;826.36;29.94;63.74;108.18;10.58;7.52;0;0;31.01;64.55;12.9657;49.29;742.27;33.54;36.32
"O49";71.4610952426343;72.5329688873938;15;0.5;0.346;20.382;71.8273;88.0086;6.49999999999998;10;58;2.29;2.27;2.27;0.001;36.4;63.605;105.91;8.49;7.558;0;1.03;23.25;57.73;13.6719;85;546.82;33.45;71.33;112.27;8.69;7.536;2.73;0.44;40.5;66.36;14.3781;57.14;364.55;22.69;42.76;110.91;8.75;7.5;0;0;31.38;59.55;12.2562;40;390;28.17;27.74
"O5";72.768064823866;74.3034575168275;15;1;12.64;30.87;62.243;88.5052;7.00000000000006;17.5;24.9999999999999;1.21;0.44;0.15;0.25;85.3;14.706;30.91;11.19;7.839;6.64;2.25;23.76;73.64;1.8843;58.57;879.09;40.99;56.69;23.18;11.28;7.838;8.45;1.23;20.51;90;1.4157;48.57;753.18;59.81;47.15;52.27;11.28;7.836;7.36;1.03;14.55;79.09;0;39.29;537.27;56.15;39.29
"O50";71.4512888995026;72.7970869439767;12.5;0.5;0.194;0.216;71.1798;84.712;24;20.5;16.9999999999999;2.12;4.37;4.1;0.001;22.4;77.605;83.64;8.8;7.55;0;0.64;26.03;59.55;10.8438;80;469.09;32.88;69.16;81.82;8.93;7.55;0.09;0.25;40.76;64.55;19.0938;60;276.82;23.45;40.91;89.09;9;7.545;0;0;29.93;58.18;16.0281;44.29;270.45;28.25;28.26
"O51";71.4416784399547;73.0008912101164;9.5;0.4;0.236;0.252;83.1458;103.0421;28.5000000000001;NA;60.0000000000001;4.62;NA;5.4;0.001;87.3;12.706;84.09;9.07;7.602;0;0;31.16;68.18;7.7781;91.43;916.36;37.02;83.65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;96.82;9.23;7.626;0;0;29.71;45;7.3062;57.86;750;15.29;50.55
