"ID","Species","Date","Region","Name","N_eggs","W_test","Value","Type"
"4770_2021","Гага обыкновенная",2021-06-24,"Северный архипелаг","Горелый",5,"A_90",90,"Angle"
"4771_2021","Гага обыкновенная",2021-06-24,"Северный архипелаг","Горелый",2,"A_0",0,"Angle"
"4772_2021","Гага обыкновенная",2021-06-24,"Северный архипелаг","Горелый",5,"A_90",90,"Angle"
"4773_2021","Гага обыкновенная",2021-06-24,"Северный архипелаг","Горелый",4,"A_90",90,"Angle"
"4774_2021","Гага обыкновенная",2021-06-24,"Северный архипелаг","Горелый",4,"A_15",15,"Angle"
"4778_2021","Гага обыкновенная",2021-06-24,"Северный архипелаг","Горелый",5,"A_90",90,"Angle"
"4779_2021","Гага обыкновенная",2021-06-24,"Северный архипелаг","Горелый",6,"A_15",15,"Angle"
"4781_2021","Гага обыкновенная",2021-06-24,"Северный архипелаг","Горелый",3,"A_60",60,"Angle"
"4783_2021","Гага обыкновенная",2021-06-24,"Северный архипелаг","Горелый",4,"A_90",90,"Angle"
"4785_2021","Гага обыкновенная",2021-06-24,"Северный архипелаг","Горелый",4,"A_60",60,"Angle"
"4786_2021","Гага обыкновенная",2021-06-24,"Северный архипелаг","Горелый",2,"A_90",90,"Angle"
"4792_2021","Гага обыкновенная",2021-06-25,"Кибринский архипелаг","Кибринская Южная",4,"A_90",90,"Angle"
"4802_2021","Гага обыкновенная",2021-06-25,"Кибринский архипелаг","Кибринская Южная",4,"A_90",90,"Angle"
"4806_2021","Гага обыкновенная",2021-06-25,"Кибринский архипелаг","Кибринская Южная",1,"A_0",0,"Angle"
"4808_2021","Гага обыкновенная",2021-06-25,"Кибринский архипелаг","Кибринская Южная",4,"A_90",90,"Angle"
"4810_2021","Гага обыкновенная",2021-06-25,"Кибринский архипелаг","Кибринская Южная",3,"A_0",0,"Angle"
"4814_2021","Гага обыкновенная",2021-06-25,"Кибринский архипелаг","Кибринская Южная",4,"A_90",90,"Angle"
"4817_2021","Гага обыкновенная",2021-06-25,"Кибринский архипелаг","Кибринская Южная",4,"A_60",60,"Angle"
"4824_2021","Гага обыкновенная",2021-06-25,"Кибринский архипелаг","Кибринская Южная",3,"A_30",30,"Angle"
"4825_2021","Гага обыкновенная",2021-06-25,"Кибринский архипелаг","Кибринская Южная",4,"A_15",15,"Angle"
"4828_2021","Гага обыкновенная",2021-06-25,"Кибринский архипелаг","Кибринская Южная",1,"A_90",90,"Angle"
"4835_2021","Гага обыкновенная",2021-06-25,"Кибринский архипелаг","Кибринская Смородинная",2,"A_90",90,"Angle"
"4840_2021","Гага обыкновенная",2021-06-25,"Кибринский архипелаг","Кибринская Северная",4,"A_90",90,"Angle"
"4846_2021","Гага обыкновенная",2021-06-25,"Кибринский архипелаг","Кибринская Восточная",5,"A_60",60,"Angle"
"4857_2021","Гага обыкновенная",2021-06-12,"Северный архипелаг","Поперечная Луда Вторая",4,"A_90",90,"Angle"
"4860_2021","Гага обыкновенная",2021-06-12,"Северный архипелаг","Поперечная Луда Вторая",6,"A_30",30,"Angle"
"4861_2021","Гага обыкновенная",2021-06-12,"Северный архипелаг","Поперечная Луда Вторая",5,"A_35",35,"Angle"
"4863_2021","Гага обыкновенная",2021-06-12,"Северный архипелаг","Поперечная Луда Вторая",2,"A_90",90,"Angle"
"4865_2021","Гага обыкновенная",2021-06-12,"Северный архипелаг","Поперечная Луда Вторая",6,"A_10",10,"Angle"
"4873_2021","Гага обыкновенная",2021-06-16,"Северный архипелаг","Гульмаха Малая",2,"A_30",30,"Angle"
"4878_2021","Гага обыкновенная",2021-06-16,"Северный архипелаг","Гульмаха Малая",5,"A_90",90,"Angle"
"4881_2021","Гага обыкновенная",2021-06-16,"Северный архипелаг","Гульмаха Малая",4,"A_0",0,"Angle"
"4887_2021","Гага обыкновенная",2021-06-16,"Северный архипелаг","Гульмаха Малая",3,"A_90",90,"Angle"
"4888_2021","Гага обыкновенная",2021-06-16,"Северный архипелаг","Гульмаха Малая",5,"A_90",90,"Angle"
"4889_2021","Гага обыкновенная",2021-06-16,"Северный архипелаг","Гульмаха Малая",5,"A_30",30,"Angle"
"4890_2021","Гага обыкновенная",2021-06-16,"Северный архипелаг","Гульмаха Малая",4,"A_45",45,"Angle"
"4894_2021","Гага обыкновенная",2021-06-16,"Северный архипелаг","Гульмаха Малая",3,"A_0",0,"Angle"
"4895_2021","Гага обыкновенная",2021-06-16,"Северный архипелаг","Гульмаха Малая",3,"A_90",90,"Angle"
"4896_2021","Гага обыкновенная",2021-06-16,"Северный архипелаг","Гульмаха Малая",4,"A_90",90,"Angle"
"4897_2021","Гага обыкновенная",2021-06-16,"Северный архипелаг","Гульмаха Малая",3,"A_0",0,"Angle"
"4898_2021","Гага обыкновенная",2021-06-16,"Северный архипелаг","Гульмаха Малая",4,"A_60",60,"Angle"
"4910_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Наволочная",9,"A_90",90,"Angle"
"4911_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Наволочная",7,"A_90",90,"Angle"
"4912_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Наволочная",6,"A_90",90,"Angle"
"4916_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Наволочная",4,"A_0",0,"Angle"
"4917_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Наволочная",4,"A_15",15,"Angle"
"4919_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Наволочная",5,"A_45",45,"Angle"
"4921_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Наволочная",3,"A_45",45,"Angle"
"4922_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Наволочная",4,"A_15",15,"Angle"
"4924_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Наволочная",5,"A_90",90,"Angle"
"4925_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Наволочная",5,"A_90",90,"Angle"
"4926_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Наволочная",7,"A_90",90,"Angle"
